month,date,Line,Number,Number_Adjusted, Volume , Volume Adjusted ,Number_Yoy,Volume_YoY 
60,2005-01,AUT,1594188,1820253.061," $29,603,958,888 "," $34,150,738,535 ",,
60,2005-01,CRC,5710176,6535731.811," $32,380,299,600 "," $37,027,553,722 ",,
60,2005-01,MTG,1017936,1281158.334," $196,761,502,824 "," $238,627,044,783 ",,
60,2005-01,STU,1082952,1331294.422," $7,449,143,496 "," $10,436,006,479 ",,
61,2005-02,AUT,1695936,1829967.671," $31,239,051,912 "," $34,185,186,713 ",,
61,2005-02,CRC,5624820,6624292.692," $32,214,442,548 "," $37,288,658,251 ",,
61,2005-02,MTG,1095816,1280893.633," $215,667,486,132 "," $248,193,268,178 ",,
61,2005-02,STU,915840,1372911.38," $6,330,406,680 "," $10,906,331,471 ",,
62,2005-03,AUT,2002740,1819837.161," $37,392,213,744 "," $34,148,989,779 ",,
62,2005-03,CRC,6635412,6633396.752," $38,639,133,120 "," $37,883,639,372 ",,
62,2005-03,MTG,1416168,1282213.86," $280,554,378,192 "," $253,514,350,079 ",,
62,2005-03,STU,819960,1357096.845," $6,825,925,392 "," $11,476,221,370 ",,
63,2005-04,AUT,1878180,1798970.748," $34,702,728,756 "," $33,593,090,262 ",,
63,2005-04,CRC,6116664,6395411.648," $36,958,642,080 "," $37,396,448,704 ",,
63,2005-04,MTG,1263120,1223547.903," $245,770,203,528 "," $243,277,319,357 ",,
63,2005-04,STU,740772,1385054.986," $6,440,963,640 "," $11,767,101,974 ",,
64,2005-05,AUT,1925700,1796487.239," $36,109,250,724 "," $33,801,179,021 ",,
64,2005-05,CRC,6251496,6356050.167," $37,187,500,744 "," $37,704,156,077 ",,
64,2005-05,MTG,1348308,1235723.588," $269,408,141,208 "," $252,902,818,745 ",,
64,2005-05,STU,960204,1379140.216," $7,859,544,784 "," $11,881,674,796 ",,
65,2005-06,AUT,2043600,1899373.893," $38,981,303,220 "," $36,635,616,701 ",,
65,2005-06,CRC,6659760,6552886.354," $38,045,363,008 "," $37,686,326,604 ",,
65,2005-06,MTG,1496796,1318309.278," $305,152,263,588 "," $271,526,023,215 ",,
65,2005-06,STU,1182120,1507949.834," $12,166,102,992 "," $14,253,171,804 ",,
