,month,date,volume_AUT,volume_AUT_unadj,Age_Group,volume_CRC,volume_CRC_unadj,volume_MTG,volume_MTG_unadj,volume_STU,volume_STU_unadj,yoy_AUT,yoy_CRC,yoy_MTG,yoy_STU
0,60,2005-01,12747252135.4632,11121637200.0,Age 45-64,15813542657.2846,13833155088.0,92391650638.9518,78605568048.0,1997192706.30081,1312312200.0,,,,
1,60,2005-01,12945106482.0486,11270954928.0,Age 30-44,12706395496.0702,11185770576.0,111948599403.42099,88614771792.0,3079230749.8635,2676564552.0,,,,
2,60,2005-01,2101558470.47387,1848854208.0,Age 65 and older,4446138632.0818,3832595952.0,11307282270.6482,10261127256.0,50567735.336927004,42400968.0,,,,
3,60,2005-01,6117250261.89705,5142044544.0,Younger than 30,3911966944.3068705,3369003696.0,26416940983.3081,17745255288.0,5281387060.24971,3385278720.0,,,,
4,61,2005-02,12685930498.8011,11550949392.0,Age 45-64,16119186546.4864,14046914460.0,95148388902.6178,85545505488.0,2101805989.19158,1301784744.0,,,,
5,61,2005-02,13083216819.9397,11987639496.0,Age 30-44,12534355536.4225,10773653184.0,115200886762.70401,98279921496.0,3215248712.0627,2250452136.0,,,,
6,61,2005-02,2147569615.5528603,2003780400.0,Age 65 and older,4305422422.80502,3882000048.0,10323818399.7907,9854602620.0,76156288.9855124,56663040.0,,,,
7,61,2005-02,6022969154.67002,5461524240.0,Younger than 30,4047814152.5659103,3344495280.0,27032558768.7007,20347278072.0,5497108380.093639,2691709968.0,,,,
8,62,2005-03,12682140286.9692,13893932868.0,Age 45-64,16624575709.3876,17138713224.0,96047234365.4226,109438465044.0,2262640762.0949802,1635433416.0,,,,
9,62,2005-03,13147454219.2287,14343382008.0,Age 30-44,12763086377.2069,12928256664.0,115714612846.987,127022547876.0,3172910132.8042397,2405715216.0,,,,
10,62,2005-03,2056780287.1793199,2374508904.0,Age 65 and older,4268623190.2087297,4415527152.0,10861191446.461,13631228568.0,64209366.886375,39944472.0,,,,
11,62,2005-03,6045865685.32434,6511221492.0,Younger than 30,4127633612.5363398,3973943760.0,27500107507.3964,28025491680.0,5862477107.3543,2715023232.0,,,,
12,63,2005-04,12293471605.2933,12758186832.0,Age 45-64,16267022914.3681,16238525320.0,92446241338.7338,95024589588.0,2243858568.31079,1536535488.0,,,,
13,63,2005-04,12963785991.8207,13402367856.0,Age 30-44,12605584760.9009,12171171136.0,108204684088.888,110682505260.0,3298994834.36526,2320067568.0,,,,
14,63,2005-04,1987006965.1382198,2149484736.0,Age 65 and older,4460493281.921121,4578606696.0,9839449382.2648,11079282384.0,79367111.8856184,60989088.0,,,,
15,63,2005-04,6037797907.33674,6187925820.0,Younger than 30,4011607988.7288103,3817050504.0,26714589080.9531,27393747408.0,5937953730.58092,2491831632.0,,,,
16,64,2005-05,12590156377.7412,13457456244.0,Age 45-64,16221331828.058,15921776896.0,96189558187.7685,102625957788.0,2434709190.24435,1667759536.0,,,,
17,64,2005-05,12866546479.4049,13820026848.0,Age 30-44,12753673547.0845,12563670648.0,112376973910.388,122226235368.0,3442012675.69136,2637642144.0,,,,
18,64,2005-05,2023464242.6329398,2180080608.0,Age 65 and older,4598894378.16259,4516881096.0,11472637206.1425,12901176888.0,87394024.9665305,65300520.0,,,,
19,64,2005-05,5924427978.67384,6392932848.0,Younger than 30,4056674907.82351,3988987704.0,26941176822.0936,29628519228.0,5905736473.300421,3465396360.0,,,,
20,65,2005-06,13085771831.6971,14065540416.0,Age 45-64,16321780554.6425,16577025056.0,104767694423.149,114132373992.0,2553828170.05458,2137100304.0,,,,
21,65,2005-06,14377889805.5612,15233889000.0,Age 30-44,12520394661.6973,12616470632.0,122758540019.377,141807549612.0,3751972631.87804,3974004864.0,,,,
22,65,2005-06,2073775802.49465,2276391456.0,Age 65 and older,4444733984.56335,4411664904.0,11740535060.2008,12869041824.0,99432521.317163,83254968.0,,,,
