,month,date,number_AUT,number_AUT_unadj,number_CRC,number_CRC_unadj,number_MTG,number_MTG_unadj,number_STU,number_STU_unadj,volume_AUT,volume_AUT_unadj,volume_CRC,volume_CRC_unadj,volume_MTG,volume_MTG_unadj,volume_STU,volume_STU_unadj,number_yoy_AUT,volume_yoy_AUT,number_yoy_CRC,volume_yoy_CRC,number_yoy_MTG,volume_yoy_MTG,number_yoy_STU,volume_yoy_STU
0,60,2005-01,1820253.06077079,1594188.0,6535731.81100847,5710176.0,1281158.33416014,1017936.0,1331294.4217639,1082952.0,34150738535.4386,29603958888.0,37027553722.1245,32380299600.0,238627044782.588,196761502824.0,10436006479.0631,7449143496.0,,,,,,,,
1,61,2005-02,1829967.67093375,1695936.0,6624292.69164406,5624820.0,1280893.63258939,1095816.0,1372911.3800183998,915840.0,34185186713.0386,31239051912.0,37288658250.597,32214442548.0,248193268177.946,215667486132.0,10906331470.8665,6330406680.0,,,,,,,,
2,62,2005-03,1819837.1609540002,2002740.0,6633396.75185463,6635412.0,1282213.8596365,1416168.0,1357096.84460156,819960.0,34148989779.0683,37392213744.0,37883639371.768,38639133120.0,253514350079.29,280554378192.0,11476221369.5036,6825925392.0,,,,,,,,
3,63,2005-04,1798970.74805568,1878180.0,6395411.64758852,6116664.0,1223547.90327398,1263120.0,1385054.98643661,740772.0,33593090262.1498,34702728756.0,37396448704.1551,36958642080.0,243277319356.75198,245770203528.0,11767101974.2697,6440963640.0,,,,,,,,
4,64,2005-05,1796487.23871429,1925700.0,6356050.16690272,6251496.0,1235723.58752566,1348308.0,1379140.21613191,960204.0,33801179020.707,36109250724.0,37704156077.1738,37187500744.0,252902818745.38,269408141208.0,11881674795.8119,7859544784.0,,,,,,,,
5,65,2005-06,1899373.89310344,2043600.0,6552886.35369249,6659760.0,1318309.27796363,1496796.0,1507949.83445852,1182120.0,36635616700.8159,38981303220.0,37686326604.4544,38045363008.0,271526023214.714,305152263588.0,14253171804.1821,12166102992.0,,,,,,,,
6,66,2005-07,1975790.21189802,2132820.0,6305942.36448148,6381828.0,1471047.64145524,1470672.0,1488318.15310781,1179624.0,38269462116.1942,41618997400.0,36659536142.0959,37296224264.0,318457231360.989,305682507036.0,14675148237.5668,14712799848.0,,,,,,,,
7,67,2005-08,1857848.66891397,2057224.0,6861315.09072383,7518264.0,1488666.93965749,1623636.0,1454253.56338807,3677880.0,34377327777.8459,38321005264.0,40531685712.4884,45020342472.0,310072601515.61304,331522211520.0,11588970879.1399,31354665828.0,,,,,,,,
8,68,2005-09,1792443.84669413,1719348.0,7022255.95175349,7270428.0,1468923.71023249,1432776.0,1530866.00415042,3200124.0,32930701003.3961,31766543364.0,44701126045.1176,45755010732.0,301349593478.838,294623540424.0,12176278824.5229,23450482176.0,,,,,,,,
9,69,2005-10,1704914.98306276,1580084.0,6827133.867150799,6917112.0,1378904.82472088,1332420.0,1604114.67981964,1812348.0,31362364696.0323,29226347436.0,37268900866.1078,38522680960.0,284143914105.285,275135069556.0,14617084771.9987,15126007708.0,,,,,,,,
10,70,2005-11,1778727.89393396,1550980.0,6821990.92529812,7565700.0,1289618.14995926,1224900.0,1573527.64203153,1254384.0,32997639198.8512,28770087232.0,37714000817.2777,39731857836.0,264414682053.93103,254750693304.0,14986106611.7093,11850822540.0,,,,,,,,
11,71,2005-12,1787169.99155323,1654312.0,6446201.11176297,6728052.0,1195978.83279375,1175568.0,1549077.54103822,902640.0,33184300446.4943,31479450320.0,33993055392.9074,34163555160.0,234058926419.832,242707629624.0,14994225514.5982,9132819876.0,,,,,,,,
12,72,2006-01,1842070.89243517,1614132.0,6805452.62699962,6014184.0,1149122.9173881,946500.0,1462226.97075579,1257996.0,34515095986.7227,29874527172.0,36836398936.0573,32633397704.0,226194698125.994,194641074240.0,12452426248.533,9402187248.0,0.0125104441885149,0.00913959801875275,0.0532396899850371,0.00781642255095139,-0.0701772999481304,-0.0107766435688219,0.16163597278549696,0.26218366622266503
13,73,2006-02,1790350.32859357,1659600.0,7820691.11308777,6619776.0,1131722.6571943,969804.0,1500324.80542999,1009872.0,33376363374.6447,30479797680.0,44403797870.64,38256023872.0,228057706015.943,198581615196.0,13600698271.7326,8017160872.0,-0.0214253368051625,-0.0243046502864046,0.176886727041932,0.18754263138336,-0.11499375807617301,-0.07922321181757801,0.102672955974843,0.266452737914778
14,74,2006-03,1808309.83863525,1999176.0,6975971.94568981,6963900.0,1130726.53431339,1248036.0,1518532.91386467,929520.0,33703022526.2649,37158735144.0,36110842188.7418,36806339056.0,236420426412.029,260847131280.0,14276963440.036001,8473513744.0,-0.0017795620000599101,-0.00624404325452554,0.049505290703878005,-0.0474336227551474,-0.11872320233192699,-0.0702439471413744,0.133616273964584,0.241372159433646
15,75,2006-04,1829811.41263312,1866060.0,6804334.56093345,6445944.0,1112532.59629735,1112772.0,1507239.42688441,779904.0,34327789603.047,34612173096.0,36073835032.8356,35169471400.0,239652474939.135,233698999776.0,15337133708.5621,8062519364.0,-0.0064530556176724,-0.00260946799419459,0.0538332659763558,-0.0484100762178219,-0.119029070872126,-0.0491158146053484,0.0528259707440346,0.251756695835035
16,76,2006-05,1819728.23309106,1981158.0,6865394.60932195,6855348.0,1120746.50474838,1265868.0,1692525.76486693,1218984.0,34267584317.2756,37144457106.0,36960477638.8827,37105355900.0,236097578760.155,261847965612.0,18503557379.6228,12605281536.0,0.028798878329958,0.0286687306228692,0.0965931994517792,-0.00220893693731905,-0.061143299602167994,-0.0280621645734271,0.269505230138596,0.603818272231376
17,77,2006-06,1842119.19998208,1997424.0,6911460.12719224,7019592.0,1133188.46271598,1285860.0,1916549.77342308,1468416.0,35523413611.2584,38145229488.0,36965228846.1347,37387798188.0,241004603476.04398,269956255404.0,19814614978.5905,16681941012.0,-0.0225954198473283,-0.0214480703038947,0.0540307758838157,-0.0172837047148618,-0.14092501583382097,-0.115339167962128,0.24218861029337102,0.371181965414024
18,78,2006-07,1916870.32855035,2075236.0,7021021.11794932,7108008.0,1121286.56437538,1115424.0,1887131.18702309,1469148.0,36904898012.034,40190107244.0,37655024015.2986,38322866032.0,244873782073.757,233856736896.0,18160738443.9324,17716052388.0,-0.026998996633564996,-0.034332642429296005,0.11378871382932901,0.0275266944110202,-0.24155488103397602,-0.234968532666284,0.245437529246607,0.20412515435722797
19,79,2006-08,1892110.75116694,2085164.0,7136744.33993795,7806804.0,1167736.65163851,1262040.0,1610397.41836053,4090488.0,36089519445.5834,39836088768.0,38880391034.6562,43088556436.0,249403761099.077,264680261976.0,12060256083.3291,32830937760.0,0.0135814087333221,0.0395366325481894,0.0383785405779844,-0.0429091812706991,-0.22270755267806303,-0.20162133100384302,0.11218636823387401,0.0470830064047971
20,80,2006-09,1896998.70472124,1811532.0,7797353.07530326,7958712.0,1196228.24648203,1123452.0,1538090.40076025,3086544.0,36067224565.5051,34794555432.0,44470429865.1474,44737398876.0,253447936422.67398,237322395876.0,12181202142.5009,22781341884.0,0.0536156729178736,0.0953207918564898,0.0946689795978999,-0.0222404462313525,-0.21589138846546801,-0.194489362477745,-0.0354923746704815,-0.0285341805331756
21,81,2006-10,1863202.8397706002,1733868.0,7023955.091605701,7206492.0,1173376.08646137,1178988.0,1510444.91757273,1774128.0,35178875479.4217,32903951708.0,38624019301.8394,40515217808.0,250978098097.31302,253335626448.0,12770631001.5836,13795786272.0,0.0973264712508954,0.125831812546991,0.0418353786956174,0.0517237325737778,-0.11515287972261,-0.0792317865664268,-0.0210886650908104,-0.0879426654857818
22,82,2006-11,1864784.28033062,1655424.0,6923231.4398642,7707756.0,1150338.7340625,1104180.0,1542663.97440567,1214064.0,35083644865.9727,31179742884.0,38128898774.5091,40331844008.0,246063445215.113,240218610612.0,13716356792.6853,10694034048.0,0.0673406491379644,0.0837555907484291,0.0187763194416908,0.0151008838921287,-0.0985549840803331,-0.0570443302961241,-0.0321432671335093,-0.0976125064817652
23,83,2006-12,1863611.57794786,1688940.0,7398814.20917265,7639392.0,1167207.90724133,1118628.0,1564797.50396791,867240.0,35031471223.3407,32611077480.0,39835983211.6214,39407898568.0,253815607747.08398,255472276512.0,13068973660.7637,7621736400.0,0.0209319644661949,0.0359481232517278,0.135453768787756,0.153506957441604,-0.0484361602221224,0.052592689021662996,-0.0392182930071789,-0.16545639753291902
24,84,2007-01,1836649.56162645,1641468.0,7611125.91936301,6805104.0,1151864.09969888,990204.0,1540174.14488809,1417392.0,34653524299.137,30624119856.0,40217125081.0521,36116788376.0,247207733578.371,223663325064.0,12374139875.4632,9974908452.0,0.0169354179212109,0.0250913656200911,0.131509112458149,0.10674311953649301,0.0461743264659271,0.14910650764398498,0.126706285234611,0.0609136139169986
25,85,2007-02,1869238.36884665,1740192.0,8219786.35482518,6923124.0,1069877.4236768,914340.0,1459703.80917536,1005264.0,36022145632.5993,33156409860.0,44475171623.7442,38185498040.0,233585228234.404,202854502092.0,11724411765.3478,7053811032.0,0.0485610990600145,0.08781594314047299,0.045824511282557,-0.0018435222707924301,-0.0571909375502679,0.0215170316334805,-0.00456295451304722,-0.12016097161833302
26,86,2007-03,1859474.66370166,2061216.0,7459275.11520394,7331124.0,1007876.04631718,1069860.0,1537000.63547907,926328.0,35406410114.3185,39152875848.0,40735508292.798,40866084376.0,226095606502.577,238424124480.0,12821771967.65,7332761760.0,0.0310327855076291,0.0536654624080226,0.0527325205703701,0.110300166333391,-0.14276511254483,-0.0859622518751436,-0.00343403046733803,-0.134625613230138
27,87,2007-04,1844385.90501934,1894272.0,7553979.30100051,7266932.0,982238.986563183,1016976.0,1557285.06929182,851520.0,35368701748.9968,35844762840.0,40700482748.8868,40340186852.0,219863613290.27103,221947664688.0,12699727507.4692,6851396952.0,0.0151184849361756,0.0356114520917628,0.12736505312488,0.14702283674357403,-0.0860877160820006,-0.0502840624019085,0.0918266863613983,-0.15021637249118303
28,88,2007-05,1922885.56620609,2083080.0,7378265.5223979,7402200.0,953997.6134396759,1071204.0,1529517.10341542,1098000.0,36752336541.796,39536919684.0,38228950843.0275,38581890664.0,210870937269.11398,233401148556.0,11079830426.2102,7500035472.0,0.0514456696538086,0.0644096795161813,0.0797701298314835,0.0397930360236756,-0.15377906701172597,-0.10863867889717299,-0.0992498671024394,-0.40500849183095894
29,89,2007-06,1832190.23514961,1969800.0,7346849.12567209,7362996.0,914053.965573602,997428.0,1485676.19960963,1051560.0,34949471095.0477,37393433544.0,38507054167.2172,38476252096.0,202282623094.004,216599853816.0,11353675555.8885,8934074136.0,-0.013829812798885,-0.0197087802089775,0.0489207919776533,0.0291125436840876,-0.224310578134478,-0.19764832457077203,-0.283881406903766,-0.46444636570928105
30,90,2007-07,1856672.18796769,2004576.0,7328199.732671601,7517184.0,876503.642200363,892824.0,1548295.17750793,1216968.0,35524883770.0254,38452274772.0,38284750430.1738,39591773280.0,192897623632.276,188966780352.0,10782190549.2514,10316401656.0,-0.0340491394713661,-0.0432403044224133,0.057565495142943,0.0331109694911766,-0.199565367071177,-0.1919549427561,-0.171650507641163,-0.41768056279920296
31,91,2007-08,1875469.98089227,2064708.0,7204286.14991307,7856472.0,814030.6673216191,867396.0,1599885.45803942,4049220.0,35898830303.6715,39586977612.0,36699992298.8137,40386505812.0,170104756400.008,178678906536.0,11087133336.0696,30701044968.0,-0.00981025952874692,-0.00625340397875884,0.00636214256179612,-0.0627092399350484,-0.312703242369497,-0.32492545835472303,-0.0100887718042444,-0.0648745645820383
32,92,2007-09,1897361.35411286,1767312.0,7082781.48262546,7104180.0,726672.010231691,659340.0,1570502.87554578,3023664.0,36435811739.1103,34299513048.0,37838691345.4093,37286616096.0,146383755697.697,131805627720.0,11824764474.2924,21800323308.0,-0.0244102781513106,-0.0142275818113979,-0.107370639872381,-0.166544836472312,-0.41311244272118397,-0.444613614178799,-0.0203722998926955,-0.0430623701182852
33,93,2007-10,1899548.10927633,1801932.0,7356275.16902887,7643724.0,702970.16635162,740052.0,1401583.85954027,1734984.0,37458069355.1665,35770973160.0,38628585795.8077,41116841928.0,141939609118.887,150490790568.0,9571314220.80906,10767935160.0,0.0392555834700219,0.0871330433937798,0.0606719607820283,0.0148493369294243,-0.37229895469674,-0.405962782739956,-0.0220637969751901,-0.21947651640163102
34,94,2007-11,1836092.78687438,1650708.0,6841987.11057248,7661928.0,686146.875440089,673116.0,1438355.24331323,1119528.0,35166778754.3777,31798005408.0,37154179732.8726,39540618108.0,135377477442.32199,135351087648.0,10378375669.73,7837426224.0,-0.0028488169798190897,0.0198289808322076,-0.005945699370867421,-0.0196178954734392,-0.390392870727599,-0.43655036841996203,-0.0778673941406713,-0.267121631666606
