,month,date,volume_AUT,volume_AUT_unadj,Income_Level,volume_CRC,volume_CRC_unadj,volume_MTG,volume_MTG_unadj,volume_STU,volume_STU_unadj,yoy_AUT,yoy_CRC,yoy_MTG,yoy_STU
0,60,2005-01,10876738058.2512,9518239992.0,High,14613664784.8885,12872358384.0,89319032668.9565,74317048752.0,3166136677.4057803,2151994104.0,,,,
1,60,2005-01,14818369348.7448,12776247576.0,Middle,15271688735.6864,13420241160.0,79488955300.3756,68354758944.0,4149188947.0920205,3059394000.0,,,,
2,60,2005-01,5409963284.06683,4799512848.0,Moderate,4578105656.55185,3978006864.0,34869801231.5869,28731748032.0,1700662035.56586,1364467272.0,,,,
3,60,2005-01,950338612.716985,849906864.0,Low,763513512.907611,651790992.0,6960765447.58162,5605698624.0,431581418.954353,345966384.0,,,,
4,61,2005-02,1010363356.89705,992767416.0,Low,755870955.249238,654935832.0,6728275973.657,5716163016.0,468539475.117833,339234504.0,,,,
5,61,2005-02,10755421037.3803,9557827776.0,High,14334358007.3361,12724578840.0,86785265813.5328,77622831384.0,3477072842.19915,1756853712.0,,,,
6,61,2005-02,14949058900.1787,13636511760.0,Middle,15388558584.4484,13379304684.0,89203973444.2755,81256830636.0,4272691537.2988796,2561026800.0,,,,
7,61,2005-02,5471989600.20646,5203215744.0,Moderate,4563907604.627029,3900503688.0,35497505844.9461,30238150104.0,1721127117.9572802,1143052200.0,,,,
8,62,2005-03,1000756621.53655,1097087448.0,Low,817155080.879087,835290048.0,6987918428.52293,7876986864.0,435023413.738946,310493424.0,,,,
9,62,2005-03,10951148635.5179,11722078476.0,High,14632650211.1701,14909693832.0,98481424202.6914,108842243328.0,3657526070.0771203,1952324664.0,,,,
10,62,2005-03,14874020707.8498,16439054604.0,Middle,15835127707.6052,16230737664.0,89104405679.8783,97125904656.0,4592956330.14637,2750889432.0,,,,
11,62,2005-03,5363345823.881761,5866162200.0,Moderate,4762458259.56651,4775793984.0,34701122875.5166,38090238648.0,1802655030.2548,1276470600.0,,,,
12,63,2005-04,10574834666.8736,10827237540.0,High,14468115950.951,14400504824.0,85461352661.4366,90208581252.0,3853578662.14202,1892801808.0,,,,
13,63,2005-04,14708159637.4275,15285766092.0,Middle,15613542697.9944,15334819224.0,85981973365.1608,84651616404.0,4749761654.071939,2671168680.0,,,,
14,63,2005-04,5292794947.25924,5579357856.0,Moderate,4744004672.04635,4683565944.0,33601729267.683,34248083400.0,1799025022.0151398,1140171504.0,,,,
15,63,2005-04,988283792.478523,1055662872.0,Low,785416850.251754,772147896.0,6728814725.47511,7070015976.0,436592299.74943,293264112.0,,,,
16,64,2005-05,1014198953.3297,1055034888.0,Low,828917232.0547531,835450168.0,7177984170.26552,7798499328.0,460758137.570417,318067896.0,,,,
17,64,2005-05,10962086519.8545,11757086712.0,High,14550803668.758999,14282227896.0,92214528881.1112,99991533492.0,3997692660.2806897,2505100744.0,,,,
18,64,2005-05,14399483594.9322,15355660740.0,Middle,15821292596.1017,15547867808.0,88602089810.1713,91586733732.0,4631724332.70722,3126925848.0,,,,
19,64,2005-05,5375422114.116139,5740874424.0,Moderate,4752915257.83597,4608127840.0,34010996374.3119,36344008848.0,1897730347.55253,1380056064.0,,,,
20,65,2005-06,1005785403.9334,1064625888.0,Low,770377582.3374901,791456808.0,7763143609.608409,8344580904.0,593836401.4364611,540890400.0,,,,
21,65,2005-06,11546206353.3485,12221084028.0,High,14561932118.8647,14937281904.0,102608651316.07901,112184303448.0,4699966952.78849,4066715496.0,,,,
22,65,2005-06,15974734734.8161,16952571072.0,Middle,15689465841.3306,15381191696.0,97034602692.2928,104473805172.0,5470604682.960179,4654018416.0,,,,
23,65,2005-06,5787454591.67524,6156954912.0,Moderate,4812505166.13966,4796789592.0,37585802982.2962,42319737648.0,2212166327.80758,1955393760.0,,,,
24,66,2005-07,1111907526.28728,1153160208.0,Low,709153923.978047,765387336.0,7862113803.17014,7914375588.0,517542205.8826231,503549760.0,,,,
25,66,2005-07,12290664612.4219,13560784512.0,High,13996769842.4137,14285015352.0,122249099938.341,118633174416.0,5351355983.80268,5107651776.0,,,,
26,66,2005-07,16431505363.8283,18183665136.0,Middle,15161483070.2093,15402550848.0,104937137726.6,101818227624.0,5868086903.487989,5709954456.0,,,,
27,66,2005-07,5996145119.58481,6474658360.0,Moderate,4849623696.14234,4998301304.0,41389045961.0338,40101612312.0,2232104402.8474603,2251698840.0,,,,
28,67,2005-08,10998600927.4344,12420592488.0,High,15856331656.1218,17471055264.0,118516943609.05699,122294603304.0,3614976422.79897,10880597256.0,,,,
29,67,2005-08,14859562545.0616,16579092948.0,Middle,16651090325.8403,18563646216.0,111096785730.907,115741095936.0,4615229440.06458,12240898620.0,,,,
30,67,2005-08,5536760556.405311,6038650828.0,Moderate,4977276229.67109,5619365832.0,44950930236.5349,46612832568.0,2060514892.14053,4571881296.0,,,,
31,67,2005-08,976625810.95534,1040684664.0,Low,846643473.556639,921999144.0,8059534712.853241,8063027304.0,524108005.42889005,1061149512.0,,,,
32,68,2005-09,10083031555.2338,9900621444.0,High,17509776245.4981,17632540404.0,112938614825.685,108904858824.0,3628323928.0222797,7335432408.0,,,,
33,68,2005-09,1020304022.04986,994573800.0,Low,907768193.689025,945560592.0,8208416964.810591,7898799504.0,499684246.982004,844930452.0,,,,
34,68,2005-09,14134715517.953001,13586337228.0,Middle,18559031078.4616,19037325528.0,105331377443.048,104265385776.0,4745871328.06744,9117548628.0,,,,
35,68,2005-09,5365592488.87819,5188923036.0,Moderate,5372795566.84243,5626554624.0,40546727621.071,40587968304.0,2024901066.35233,3508727496.0,,,,
36,69,2005-10,10337622872.6324,9270627312.0,High,14327855579.5169,14640820224.0,105770971067.363,103095701052.0,4522918132.4328,4616491308.0,,,,
37,69,2005-10,13411393505.6907,12510300900.0,Middle,15476135024.0131,16101617032.0,98364837225.5009,97361938584.0,5728316998.36407,5996089108.0,,,,
