,month,date,volume_AUT,volume_AUT_unadj,Score_Level,volume_CRC,volume_CRC_unadj,volume_MTG,volume_MTG_unadj,volume_STU,volume_STU_unadj,yoy_AUT,yoy_CRC,yoy_MTG,yoy_STU
0,60,2005-01,13382263380.6935,11406447768.0,Super-prime,23054523296.4737,19917891648.0,94438705071.6083,72502851048.0,3031498611.5101,1684284744.0,,,,
1,60,2005-01,3165541657.12184,2794151976.0,Subprime,1210219607.02116,1041001944.0,24526076030.0753,21385497720.0,1038486235.03484,807230664.0,,,,
2,60,2005-01,3740590131.2070103,3426934320.0,Deep subprime,520872340.83981794,450570048.0,19834823223.4466,17587461648.0,2394985670.95195,2134284720.0,,,,
3,60,2005-01,5321172860.07648,4671121512.0,Near-prime,3642050212.7972,3242873280.0,40645216356.9086,34174228488.0,1615503546.7358902,1121538096.0,,,,
4,60,2005-01,7957465728.528279,6887441544.0,Prime,8360331380.50355,7486757328.0,61466003529.1515,49675829256.0,2232573672.69947,1550089920.0,,,,
5,61,2005-02,13401287082.6711,11785841616.0,Super-prime,23451367462.1825,19618449972.0,93762723865.7551,80523901404.0,3391573459.5262103,1424663616.0,,,,
6,61,2005-02,3255161810.17209,3035926992.0,Subprime,1408348141.9164698,1224220896.0,24490718761.4664,22730769312.0,1047763382.82454,644556528.0,,,,
7,61,2005-02,3763433334.28883,3977317584.0,Deep subprime,566874697.280704,498757416.0,19957294579.9199,17424965352.0,2388289795.3506603,1938640128.0,,,,
8,61,2005-02,5343254049.63698,4852296360.0,Near-prime,3651173449.3215604,3253202208.0,42818081929.0473,37250016024.0,1688601040.8949099,950958960.0,,,,
9,61,2005-02,7904861388.31392,7129120992.0,Prime,8219267643.4891,7352790264.0,63150435693.7449,56054346192.0,2275659137.75733,1213950864.0,,,,
10,62,2005-03,13481805440.3004,14312071812.0,Super-prime,23575241751.9828,23673282216.0,97380970085.0318,109997624412.0,3572665218.93046,1483588776.0,,,,
11,62,2005-03,3225563117.14256,3635928036.0,Subprime,1257889857.04373,1319483472.0,25269710183.6742,27021658752.0,1287716281.37928,838768320.0,,,,
12,62,2005-03,3776145623.39866,4422698436.0,Deep subprime,592851881.446821,643036560.0,21388763899.9835,23309421936.0,2281120512.97276,1990117368.0,,,,
13,62,2005-03,5263174619.012079,5862498084.0,Near-prime,3727375007.94526,3855705672.0,43507558770.0668,48482421600.0,1712025596.65534,1000533768.0,,,,
14,62,2005-03,7901098559.34784,8575002672.0,Prime,8326335775.19356,8826034632.0,61179044245.0009,69192357348.0,2521529234.8860197,1385738256.0,,,,
15,63,2005-04,12779184360.543999,13259481600.0,Super-prime,23021852464.5912,22846700184.0,92464876843.1011,94328311644.0,3666088177.9012203,1594388976.0,,,,
16,63,2005-04,3351579057.9060802,3502209912.0,Subprime,1251619204.60269,1216254432.0,25534939477.232002,24671077344.0,1234279132.4316,726430032.0,,,,
17,63,2005-04,3882350267.4957795,3981974916.0,Deep subprime,531199049.255866,504478952.0,19762169714.7755,19027119576.0,2392987084.30007,1861072416.0,,,,
18,63,2005-04,5205100340.62425,5474267328.0,Near-prime,3660720499.2972703,3602423392.0,41312312917.4299,41630493864.0,1670432038.91858,936946728.0,,,,
19,63,2005-04,7808393559.93365,8067615240.0,Prime,8553904452.16591,8533145136.0,59750619577.4346,64225148940.0,2668622668.12833,1227120048.0,,,,
