SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families (%),Percentage of families that saved (%)
1,Internal-Nominal,1989,Age of head (years),35-44,36500,49400,0.215,0
1,Internal-Nominal,1989,Age of head (years),45-54,38600,60400,0.152,0
1,Internal-Nominal,1989,Age of head (years),55-64,26400,47700,0.139,0
1,Internal-Nominal,1989,Age of head (years),65-74,16200,33200,0.125,0
1,Internal-Nominal,1989,Age of head (years),75 or more,13800,25300,0.089,0
1,Internal-Nominal,1989,Age of head (years),Less than 35,20900,27900,0.281,0
1,Internal-Nominal,1989,Current occupation of head,Managerial or professional,47200,74500,0.216,0
1,Internal-Nominal,1989,Current occupation of head,Other occupation,30300,35500,0.243,0
1,Internal-Nominal,1989,Current occupation of head,Retired or other not working,12500,21800,0.319,0
1,Internal-Nominal,1989,Current occupation of head,"Technical, sales, or services",25000,40200,0.222,0
1,Internal-Nominal,1989,Current work status of head,Other not working,7300,14000,0.066,0
1,Internal-Nominal,1989,Current work status of head,Retired,14500,23800,0.252,0
1,Internal-Nominal,1989,Current work status of head,Self-employed,37600,92500,0.111,0
1,Internal-Nominal,1989,Current work status of head,Working for someone else,32100,41000,0.57,0
1,Internal-Nominal,1989,Education of head,College degree,47000,77400,0.231,0
1,Internal-Nominal,1989,Education of head,High school diploma,22600,29900,0.322,0
1,Internal-Nominal,1989,Education of head,No high school diploma,13600,19500,0.243,0
1,Internal-Nominal,1989,Education of head,Some college,30300,41000,0.204,0
1,Internal-Nominal,1989,Family structure,Couple with child(ren),37800,51800,0.362,0
1,Internal-Nominal,1989,Family structure,"Couple, no child",32400,55500,0.22,0
1,Internal-Nominal,1989,Family structure,Single with child(ren),13800,19600,0.11,0
1,Internal-Nominal,1989,Family structure,"Single, no child, age 55 or more",10400,17600,0.152,0
1,Internal-Nominal,1989,Family structure,"Single, no child, age less than 55",17800,31000,0.156,0
1,Internal-Nominal,1989,Housing status,Owner,33400,51100,0.639,0
1,Internal-Nominal,1989,Housing status,Renter or other,13800,22000,0.361,0
1,Internal-Nominal,1989,Percentile of income,20-39.9,14600,14700,0.2,0
1,Internal-Nominal,1989,Percentile of income,40-59.9,25700,25900,0.2,0
1,Internal-Nominal,1989,Percentile of income,60-79.9,40700,40900,0.2,0
1,Internal-Nominal,1989,Percentile of income,80-89.9,59500,61100,0.1,0
1,Internal-Nominal,1989,Percentile of income,90-100,104400,170100,0.1,0
1,Internal-Nominal,1989,Percentile of income,Less than 20,6300,5900,0.2,0
1,Internal-Nominal,1989,Percentile of net worth,25-49.9,22000,25200,0.25,0
1,Internal-Nominal,1989,Percentile of net worth,50-74.9,31600,36100,0.25,0
1,Internal-Nominal,1989,Percentile of net worth,75-89.9,41700,50900,0.15,0
1,Internal-Nominal,1989,Percentile of net worth,90-100,78300,140000,0.1,0
1,Internal-Nominal,1989,Percentile of net worth,Less than 25,10400,14600,0.25,0
1,Internal-Nominal,1989,Race or ethnicity of respondent,Black or African-American non-hispanic,11500,19800,0.128,0
1,Internal-Nominal,1989,Race or ethnicity of respondent,Hispanic or Latino,14600,22300,0.079,0
1,Internal-Nominal,1989,Race or ethnicity of respondent,Other or Multiple Race,22600,33400,0.045,0
1,Internal-Nominal,1989,Race or ethnicity of respondent,White non-Hispanic,30300,46500,0.748,0
1,Internal-Nominal,1989,Region,Midwest,25000,42300,0.244,0
1,Internal-Nominal,1989,Region,Northeast,29200,46600,0.208,0
1,Internal-Nominal,1989,Region,South,21900,34700,0.344,0
1,Internal-Nominal,1989,Region,West,30300,42500,0.204,0
1,Internal-Nominal,1989,Urbanicity,Metropolitan statistical area (MSA),26900,43300,0.81,0
1,Internal-Nominal,1989,Urbanicity,Non-MSA,20200,29400,0.19,0
1,Internal-Nominal,1989,(blank),All families,25700,40600,1,0
1,Internal-Nominal,1992,Age of head (years),35-44,35900,46600,0.228,0.569
1,Internal-Nominal,1992,Age of head (years),45-54,41700,56700,0.162,0.59
1,Internal-Nominal,1992,Age of head (years),55-64,29700,49600,0.132,0.592
1,Internal-Nominal,1992,Age of head (years),65-74,17900,29000,0.126,0.541
1,Internal-Nominal,1992,Age of head (years),75 or more,13700,23300,0.094,0.494
1,Internal-Nominal,1992,Age of head (years),Less than 35,24600,30300,0.258,0.591
1,Internal-Nominal,1992,Current occupation of head,Managerial or professional,49200,73600,0.219,0.675
1,Internal-Nominal,1992,Current occupation of head,Other occupation,29700,35900,0.198,0.598
1,Internal-Nominal,1992,Current occupation of head,Retired or other not working,13900,22400,0.343,0.465
1,Internal-Nominal,1992,Current occupation of head,"Technical, sales, or services",29300,37700,0.24,0.604
1,Internal-Nominal,1992,Current work status of head,Other not working,11300,20900,0.081,0.414
1,Internal-Nominal,1992,Current work status of head,Retired,15200,22900,0.262,0.481
1,Internal-Nominal,1992,Current work status of head,Self-employed,44900,76200,0.109,0.594
1,Internal-Nominal,1992,Current work status of head,Working for someone else,34400,43800,0.548,0.632
1,Internal-Nominal,1992,Education of head,College degree,47100,69300,0.275,0.682
1,Internal-Nominal,1992,Education of head,High school diploma,23800,30100,0.3,0.568
1,Internal-Nominal,1992,Education of head,No high school diploma,12300,17400,0.204,0.381
1,Internal-Nominal,1992,Education of head,Some college,29700,37900,0.221,0.611
1,Internal-Nominal,1992,Family structure,Couple with child(ren),41400,56000,0.328,0.621
1,Internal-Nominal,1992,Family structure,"Couple, no child",33800,49300,0.245,0.657
1,Internal-Nominal,1992,Family structure,Single with child(ren),13900,21100,0.112,0.452
1,Internal-Nominal,1992,Family structure,"Single, no child, age 55 or more",12200,18900,0.153,0.466
1,Internal-Nominal,1992,Family structure,"Single, no child, age less than 55",19900,26700,0.162,0.519
1,Internal-Nominal,1992,Housing status,Owner,34800,49000,0.639,0.632
1,Internal-Nominal,1992,Housing status,Renter or other,17100,24100,0.361,0.462
1,Internal-Nominal,1992,Percentile of income,20-39.9,15900,15900,0.2,0.491
1,Internal-Nominal,1992,Percentile of income,40-59.9,26600,27200,0.2,0.592
1,Internal-Nominal,1992,Percentile of income,60-79.9,42200,43200,0.2,0.7
1,Internal-Nominal,1992,Percentile of income,80-89.9,63000,64200,0.1,0.716
1,Internal-Nominal,1992,Percentile of income,90-100,107600,150300,0.1,0.82
1,Internal-Nominal,1992,Percentile of income,Less than 20,6800,6600,0.2,0.302
1,Internal-Nominal,1992,Percentile of net worth,25-49.9,24600,27700,0.25,0.525
1,Internal-Nominal,1992,Percentile of net worth,50-74.9,32800,36400,0.25,0.635
1,Internal-Nominal,1992,Percentile of net worth,75-89.9,43000,50900,0.15,0.707
1,Internal-Nominal,1992,Percentile of net worth,90-100,80800,120300,0.1,0.811
1,Internal-Nominal,1992,Percentile of net worth,Less than 25,13000,17300,0.25,0.374
1,Internal-Nominal,1992,Race or ethnicity of respondent,Black or African-American non-hispanic,17100,23900,0.127,0.424
1,Internal-Nominal,1992,Race or ethnicity of respondent,Hispanic or Latino,17200,23100,0.075,0.388
1,Internal-Nominal,1992,Race or ethnicity of respondent,Other or Multiple Race,27700,43200,0.046,0.62
1,Internal-Nominal,1992,Race or ethnicity of respondent,White non-Hispanic,30700,44200,0.753,0.611
1,Internal-Nominal,1992,Region,Midwest,28900,41200,0.244,0.613
