Characteristic,Sub-Characteristic,1989 - Income - Median ($),1989 - Mean ($),1989 - Percentage of families that saved (%),1989 - Percentage of families (%),1992 - Income - Median ($),1992 - Mean ($),1992 - Percentage of families that saved (%),1992 - Percentage of families (%),1995 - Income - Median ($),1995 - Mean ($),1995 - Percentage of families that saved (%),1995 - Percentage of families (%),1998 - Income - Median ($),1998 - Mean ($),1998 - Percentage of families that saved (%),1998 - Percentage of families (%),2001 - Income - Median ($),2001 - Mean ($),2001 - Percentage of families that saved (%),2001 - Percentage of families (%),2004 - Income - Median ($),2004 - Mean ($),2004 - Percentage of families that saved (%),2004 - Percentage of families (%),2007 - Income - Median ($),2007 - Mean ($),2007 - Percentage of families that saved (%),2007 - Percentage of families (%),2010 - Income - Median ($),2010 - Mean ($),2010 - Percentage of families that saved (%),2010 - Percentage of families (%),2013 - Income - Median ($),2013 - Mean ($),2013 - Percentage of families that saved (%),2013 - Percentage of families (%),2016 - Income - Median ($),2016 - Mean ($),2016 - Percentage of families that saved (%),2016 - Percentage of families (%)
,All families,25700.0,40600.0,n.a.,1.0,26600.0,40000.0,0.5710000000000001,1.0,30700.0,44600.0,0.552,1.0,33400.0,53200.0,0.5589999999999999,1.0,39900.0,68000.0,0.5920000000000001,1.0,43200.0,70800.0,0.561,1.0,47300.0,84300.0,0.564,1.0,45700.0,78500.0,0.52,1.0,46700.0,87200.0,0.53,1.0,52700.0,102700.0,0.5539999999999999,1.0
Percentile of income,Less than 20,6300.0,5900.0,n.a.,0.2,6800.0,6600.0,0.302,0.2,6900.0,6600.0,0.316,0.2,8300.0,7900.0,0.321,0.2,10300.0,10000.0,0.3,0.2,11100.0,10800.0,0.34,0.2,12300.0,12300.0,0.337,0.2,13400.0,12900.0,0.32299999999999995,0.2,13800.0,13300.0,0.317,0.2,15100.0,14400.0,0.321,0.2
Percentile of income,20–39.9,14600.0,14700.0,n.a.,0.2,15900.0,15900.0,0.491,0.2,17600.0,17600.0,0.434,0.2,20300.0,20200.0,0.455,0.2,24400.0,24100.0,0.534,0.2,25700.0,26100.0,0.433,0.2,28700.0,28300.0,0.45,0.2,28000.0,27900.0,0.434,0.2,28400.0,28600.0,0.409,0.2,31400.0,31800.0,0.452,0.2
Percentile of income,40–59.9,25700.0,25900.0,n.a.,0.2,26600.0,27200.0,0.5920000000000001,0.2,30700.0,30100.0,0.5720000000000001,0.2,33400.0,34000.0,0.561,0.2,39900.0,40300.0,0.613,0.2,43200.0,43400.0,0.545,0.2,47300.0,47300.0,0.578,0.2,45700.0,46200.0,0.498,0.2,46700.0,47200.0,0.496,0.2,52700.0,53400.0,0.5720000000000001,0.2
Percentile of income,60–79.9,40700.0,40900.0,n.a.,0.2,42200.0,43200.0,0.7,0.2,45600.0,46300.0,0.6679999999999999,0.2,53300.0,54300.0,0.679,0.2,64800.0,65200.0,0.72,0.2,68200.0,69200.0,0.693,0.2,75100.0,76600.0,0.6679999999999999,0.2,71600.0,73600.0,0.601,0.2,76400.0,78500.0,0.645,0.2,86100.0,87400.0,0.648,0.2
Percentile of income,80–89.9,59500.0,61100.0,n.a.,0.1,63000.0,64200.0,0.716,0.1,68600.0,69600.0,0.6990000000000001,0.1,78900.0,79500.0,0.737,0.1,98700.0,98100.0,0.7490000000000001,0.1,104800.0,106500.0,0.778,0.1,114000.0,116000.0,0.7290000000000001,0.1,112800.0,114600.0,0.677,0.1,121700.0,124300.0,0.733,0.1,136000.0,138700.0,0.728,0.1
Percentile of income,90–100,104400.0,170100.0,n.a.,0.1,107600.0,150300.0,0.82,0.1,112600.0,175300.0,0.8420000000000001,0.1,130600.0,219400.0,0.82,0.1,169600.0,302900.0,0.843,0.1,184900.0,302200.0,0.8059999999999999,0.1,206900.0,397600.0,0.848,0.1,205300.0,348900.0,0.809,0.1,229600.0,412000.0,0.8340000000000001,0.1,260200.0,514700.00000000006,0.823,0.1
Age of head (years),Less than 35,20900.0,27900.0,n.a.,0.281,24600.0,30300.0,0.591,0.258,25600.0,31200.0,0.564,0.248,27400.0,36100.0,0.53,0.233,33400.0,44200.0,0.529,0.22699999999999998,32900.0,45100.0,0.55,0.222,37400.0,51700.0,0.589,0.21600000000000003,35100.0,47700.0,0.546,0.21,35300.0,48700.0,0.555,0.20800000000000002,40500.0,56400.0,0.5670000000000001,0.203
Age of head (years),35–44,36500.0,49400.0,n.a.,0.215,35900.0,46600.0,0.569,0.228,38300.0,48800.0,0.5429999999999999,0.23,42100.0,60000.0,0.573,0.233,51400.0,77100.0,0.623,0.223,50000.0,73900.0,0.58,0.20600000000000002,56600.0,83700.0,0.564,0.196,53900.0,81000.0,0.47600000000000003,0.182,60900.0,102000.0,0.535,0.17300000000000001,65800.0,97100.0,0.5670000000000001,0.168
Age of head (years),45–54,38600.0,60400.0,n.a.,0.152,41700.0,56700.0,0.59,0.162,40200.0,66100.0,0.58,0.179,50700.0,69800.0,0.578,0.192,54500.0,93200.0,0.617,0.20600000000000002,61100.0,94400.0,0.585,0.20800000000000002,64200.0,112400.0,0.5579999999999999,0.20800000000000002,61000.0,102200.0,0.518,0.21100000000000002,60900.0,103800.0,0.507,0.196,69500.0,131400.0,0.551,0.183
Age of head (years),55–64,26400.0,47700.0,n.a.,0.139,29700.0,49600.0,0.5920000000000001,0.132,33800.0,53900.0,0.58,0.125,38500.0,71700.0,0.611,0.128,45300.0,87000.0,0.62,0.132,54400.0,100400.0,0.585,0.152,54600.0,111200.0,0.584,0.168,55100.0,105800.0,0.514,0.175,55100.0,110100.0,0.5539999999999999,0.187,61000.0,141300.0,0.55,0.192
Age of head (years),65–74,16200.0,33200.0,n.a.,0.125,17900.0,29000.0,0.541,0.126,19300.0,37400.0,0.5,0.12,24300.0,46700.0,0.563,0.11199999999999999,27800.0,58200.0,0.618,0.107,33300.0,59700.0,0.5710000000000001,0.105,39000.0,92400.0,0.5670000000000001,0.105,42700.0,75700.0,0.536,0.115,45900.0,98800.0,0.512,0.129,50100.0,106600.0,0.5429999999999999,0.141
Age of head (years),75 or more,13800.0,25300.0,n.a.,0.08900000000000001,13700.0,23300.0,0.494,0.094,16000.0,26500.0,0.517,0.098,16700.0,29200.0,0.486,0.102,22400.0,36700.0,0.555,0.10400000000000001,23700.0,40900.0,0.457,0.107,22800.0,45700.0,0.494,0.106,29100.0,46100.0,0.541,0.107,28500.0,53100.0,0.49700000000000005,0.107,40000.0,77100.0,0.535,0.11199999999999999
Family structure,Single with child(ren),13800.0,19600.0,n.a.,0.11,13900.0,21100.0,0.452,0.11199999999999999,16600.0,21000.0,0.369,0.12,18200.0,25300.0,0.392,0.113,22600.0,29400.0,0.452,0.114,25700.0,32800.0,0.39799999999999996,0.121,28800.0,42100.0,0.41600000000000004,0.122,29500.0,39400.0,0.382,0.12,27900.0,41500.0,0.36,0.121,32600.0,53100.0,0.413,0.121
Family structure,"Single, no child, age less than 55",17800.0,31000.0,n.a.,0.156,19900.0,26700.0,0.519,0.162,22500.0,26600.0,0.511,0.158,24300.0,30900.0,0.52,0.16399999999999998,28800.0,40300.0,0.5579999999999999,0.151,29000.0,39300.0,0.528,0.153,33900.0,47200.0,0.5489999999999999,0.14,30500.0,42400.0,0.498,0.147,31700.0,45900.0,0.512,0.141,33400.0,58100.0,0.541,0.142
Family structure,"Single, no child, age 55 or more",10400.0,17600.0,n.a.,0.152,12200.0,18900.0,0.466,0.153,13000.0,22200.0,0.444,0.138,16700.0,26100.0,0.479,0.13699999999999998,17000.0,32600.0,0.495,0.132,21300.0,34100.0,0.45899999999999996,0.146,24600.0,36600.0,0.485,0.149,24200.0,39600.0,0.45399999999999996,0.152,25400.0,41200.0,0.465,0.166,28400.0,51300.0,0.47100000000000003,0.17
Family structure,Couple with child(ren),37800.0,51800.0,n.a.,0.36200000000000004,41400.0,56000.0,0.621,0.32799999999999996,43300.0,60500.0,0.601,0.319,52100.0,72200.0,0.591,0.327,62500.0,93800.0,0.619,0.311,65700.0,99000.0,0.617,0.317,71200.0,113000.0,0.601,0.318,67700.0,109400.0,0.528,0.316,74600.0,122800.0,0.57,0.306,81400.0,136000.0,0.586,0.28800000000000003
Family structure,"Couple, no child",32400.0,55500.0,n.a.,0.22,33800.0,49300.0,0.657,0.245,38100.0,58400.0,0.6559999999999999,0.266,42600.0,69800.0,0.659,0.258,51500.0,85900.0,0.6809999999999999,0.292,58600.0,93000.0,0.644,0.263,61700.0,115000.0,0.64,0.271,61800.0,101700.0,0.622,0.265,66800.0,117600.0,0.612,0.266,74300.0,143900.0,0.639,0.28
Education of head,No high school diploma,13600.0,19500.0,n.a.,0.243,12300.0,17400.0,0.381,0.204,14600.0,20900.0,0.428,0.185,15500.0,21700.0,0.395,0.165,17000.0,25100.0,0.387,0.16,19400.0,25900.0,0.359,0.14400000000000002,22200.0,31300.0,0.41600000000000004,0.135,23000.0,33700.0,0.369,0.12,22400.0,30100.0,0.363,0.11,26500.0,38800.0,0.39299999999999996,0.127
