Characteristic,Sub-Characteristic,1989 - Education,1989 - Vehicle,1989 - Other,1992 - Education,1992 - Vehicle,1992 - Other,1995 - Education,1995 - Vehicle,1995 - Other,1998 - Education,1998 - Vehicle,1998 - Other,2001 - Education,2001 - Vehicle,2001 - Other,2004 - Education,2004 - Vehicle,2004 - Other,2007 - Education,2007 - Vehicle,2007 - Other,2010 - Education,2010 - Vehicle,2010 - Other,2013 - Education,2013 - Vehicle,2013 - Other,2016 - Education,2016 - Vehicle,2016 - Other
,All families,0.111,0.594,0.295,0.21,0.563,0.22699999999999998,0.218,0.6,0.182,0.24,0.5479999999999999,0.212,0.239,0.584,0.177,0.26,0.555,0.185,0.332,0.517,0.151,0.451,0.39299999999999996,0.156,0.48700000000000004,0.379,0.135,0.504,0.38299999999999995,0.113
Percentile of income,Less than 20,0.395,0.321,0.284,0.35700000000000004,0.282,0.36200000000000004,0.391,0.353,0.256,0.45,0.348,0.203,0.315,0.397,0.28800000000000003,0.5579999999999999,0.33899999999999997,0.10400000000000001,0.47,0.244,0.28600000000000003,0.40700000000000003,0.29100000000000004,0.303,0.498,0.1,0.402,0.648,0.192,0.16
Percentile of income,20–39.9,0.139,0.48,0.381,0.21899999999999997,0.47,0.311,0.308,0.493,0.19899999999999998,0.335,0.526,0.139,0.284,0.529,0.18600000000000003,0.306,0.405,0.289,0.298,0.439,0.263,0.442,0.322,0.23600000000000002,0.535,0.325,0.14,0.573,0.29,0.13699999999999998
Percentile of income,40–59.9,0.115,0.5920000000000001,0.294,0.335,0.43200000000000005,0.23199999999999998,0.24100000000000002,0.5710000000000001,0.188,0.275,0.573,0.152,0.268,0.636,0.09699999999999999,0.292,0.5670000000000001,0.14,0.336,0.547,0.11699999999999999,0.54,0.34299999999999997,0.11699999999999999,0.523,0.415,0.063,0.5579999999999999,0.335,0.107
Percentile of income,60–79.9,0.114,0.642,0.244,0.14300000000000002,0.677,0.18100000000000002,0.16899999999999998,0.701,0.13,0.204,0.563,0.233,0.217,0.6940000000000001,0.08900000000000001,0.23800000000000002,0.611,0.151,0.327,0.594,0.079,0.426,0.467,0.107,0.49,0.445,0.065,0.45399999999999996,0.442,0.10400000000000001
Percentile of income,80–89.9,0.047,0.831,0.12300000000000001,0.166,0.752,0.08199999999999999,0.19899999999999998,0.649,0.152,0.185,0.588,0.22699999999999998,0.193,0.71,0.09699999999999999,0.17300000000000001,0.6459999999999999,0.182,0.38299999999999995,0.562,0.055999999999999994,0.507,0.446,0.047,0.469,0.441,0.09,0.5,0.449,0.051
Percentile of income,90–100,0.063,0.47100000000000003,0.466,0.111,0.616,0.273,0.146,0.601,0.253,0.171,0.555,0.27399999999999997,0.218,0.392,0.39,0.19,0.569,0.242,0.255,0.509,0.23600000000000002,0.373,0.43700000000000006,0.19,0.40399999999999997,0.473,0.12300000000000001,0.363,0.48100000000000004,0.157
Age of head (years),Less than 35,0.207,0.512,0.281,0.336,0.449,0.215,0.321,0.544,0.135,0.4,0.41600000000000004,0.184,0.358,0.54,0.102,0.426,0.45899999999999996,0.115,0.531,0.41200000000000003,0.055999999999999994,0.6559999999999999,0.257,0.087,0.684,0.267,0.049,0.636,0.271,0.09300000000000001
Age of head (years),35–44,0.08,0.604,0.316,0.21100000000000002,0.581,0.20800000000000002,0.174,0.6459999999999999,0.18,0.175,0.569,0.257,0.255,0.565,0.179,0.264,0.613,0.122,0.243,0.578,0.17800000000000002,0.48100000000000004,0.375,0.14400000000000002,0.545,0.369,0.086,0.529,0.363,0.10800000000000001
Age of head (years),45–54,0.075,0.6629999999999999,0.262,0.07400000000000001,0.6890000000000001,0.237,0.184,0.581,0.23600000000000002,0.17300000000000001,0.618,0.209,0.153,0.654,0.193,0.23600000000000002,0.633,0.13,0.272,0.535,0.19399999999999998,0.361,0.513,0.126,0.38299999999999995,0.461,0.156,0.495,0.384,0.121
