SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Secured by primary residence, Mortgages (%)","Secured by primary residence, HELOC (%)",Other residential debt (%),Credit card balances (%),Lines of credit not secured by residential property (%),"Installment loans, Education loans (%)","Installment loans, Vehicle loans (%)","Installment loans, Other loans (%)",Other (%),Any debt (%),"Secured by primary residence, Mortgages ($)","Secured by primary residence, HELOC ($)",Other residential debt ($),Credit card balances ($),Lines of credit not secured by residential property ($),"Installment loans, Education loans ($)","Installment loans, Vehicle loans ($)","Installment loans, Other loans ($)",Other ($),Any debt ($)
13,Internal-Nominal,1989,,All families,0.386,0.031,0.051,0.397,0.032,0.08900000000000001,0.34700000000000003,0.22,0.067,0.723,31000.0,18000.0,25000.0,900.0,2000.0,3000.0,5700.0,1400.0,2000.0,15000.0
13,Internal-Nominal,1989,Percentile of income,Less than 20,0.075,,,0.153,,0.084,0.115,0.20199999999999999,0.059000000000000004,0.47100000000000003,7000.0,,,300.0,,2500.0,1800.0,500.0,500.0,1500.0
13,Internal-Nominal,1989,Percentile of income,20–39.9,0.222,,,0.276,,0.084,0.226,0.235,0.052000000000000005,0.595,12900.0,,,600.0,,2900.0,3200.0,1100.0,1000.0,5000.0
13,Internal-Nominal,1989,Percentile of income,40–59.9,0.373,0.024,0.033,0.489,,0.077,0.415,0.23399999999999999,0.049,0.7809999999999999,21000.0,8000.0,14000.0,800.0,,4000.0,5600.0,1500.0,900.0,11800.0
13,Internal-Nominal,1989,Percentile of income,60–79.9,0.555,0.040999999999999995,0.055,0.573,0.043,0.121,0.509,0.266,0.059000000000000004,0.862,37000.0,15000.0,14300.0,1000.0,2000.0,3300.0,6200.0,2000.0,1200.0,27900.0
13,Internal-Nominal,1989,Percentile of income,80–89.9,0.695,0.038,0.107,0.583,0.085,0.08,0.5539999999999999,0.195,0.079,0.937,41000.0,27000.0,27000.0,1400.0,1800.0,2300.0,8200.0,1600.0,4000.0,39300.0
13,Internal-Nominal,1989,Percentile of income,90–100,0.715,0.11900000000000001,0.193,0.405,0.057999999999999996,0.083,0.38799999999999996,0.133,0.149,0.8759999999999999,60000.0,22000.0,42000.0,2100.0,4700.0,2800.0,7000.0,8500.0,5000.0,73600.0
13,Internal-Nominal,1989,Age of head (years),Less than 35,0.349,,0.016,0.445,0.044000000000000004,0.171,0.37799999999999995,0.307,0.061,0.8,44000.0,,16000.0,1000.0,1400.0,3000.0,5100.0,1000.0,800.0,11400.0
13,Internal-Nominal,1989,Age of head (years),35–44,0.575,0.044000000000000004,0.07,0.505,0.047,0.109,0.505,0.301,0.085,0.8859999999999999,38500.0,15000.0,35000.0,1100.0,3000.0,2000.0,6600.0,1900.0,1200.0,30100.0
13,Internal-Nominal,1989,Age of head (years),45–54,0.569,0.062,0.107,0.493,0.04,0.073,0.47600000000000003,0.215,0.094,0.853,24600.0,21000.0,20000.0,1000.0,1300.0,3400.0,6400.0,2300.0,3000.0,23700.0
13,Internal-Nominal,1989,Age of head (years),55–64,0.341,0.057999999999999996,0.07400000000000001,0.32899999999999996,0.015,0.040999999999999995,0.27699999999999997,0.12300000000000001,0.081,0.708,20000.0,19000.0,34000.0,1000.0,2000.0,2500.0,4900.0,1000.0,2700.0,9600.0
13,Internal-Nominal,1989,Age of head (years),65–74,0.20600000000000002,,0.04,0.272,,,0.14,0.113,0.033,0.496,9200.0,,12500.0,600.0,,,3700.0,800.0,2000.0,5000.0
13,Internal-Nominal,1989,Age of head (years),75 or more,0.057999999999999996,,,0.10099999999999999,,,0.05,0.062,0.019,0.21,11000.0,,,200.0,,,3300.0,1800.0,5000.0,2800.0
