Sub-Characteristic,1989,1992,1995,1998,2001,2004,2007,2010,2013,2016
Education,0.085,0.091,0.10800000000000001,0.11,0.109,0.11599999999999999,0.084,0.08199999999999999,0.086,0.07200000000000001
For the family,0.031,0.026000000000000002,0.027000000000000003,0.040999999999999995,0.051,0.047,0.055,0.057,0.063,0.069
Buying own home,0.049,0.04,0.051,0.044000000000000004,0.042,0.05,0.042,0.032,0.031,0.040999999999999995
Purchases,0.125,0.09699999999999999,0.128,0.09699999999999999,0.095,0.077,0.1,0.115,0.091,0.121
Retirement,0.187,0.19399999999999998,0.237,0.33,0.321,0.34700000000000003,0.34,0.301,0.305,0.303
Liquidity,0.344,0.33899999999999997,0.33,0.298,0.312,0.3,0.32,0.35200000000000004,0.358,0.36200000000000004
Investments,0.08,0.076,0.042,0.02,0.01,0.015,0.016,0.012,0.013999999999999999,0.018000000000000002
No particular reason,0.017,0.017,0.008,0.013000000000000001,0.011000000000000001,0.006999999999999999,0.011000000000000001,0.013999999999999999,0.012,0.006
"When asked for a reason, reported do not save",0.084,0.12,0.068,0.049,0.049,0.04,0.033,0.035,0.040999999999999995,0.008
Total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
