Characteristic,Sub-Characteristic,1989 - Median,1989 - Mean,1992 - Median,1992 - Mean,1995 - Median,1995 - Mean,1998 - Median,1998 - Mean,2001 - Median,2001 - Mean,2004 - Median,2004 - Mean,2007 - Median,2007 - Mean,2010 - Median,2010 - Mean,2013 - Median,2013 - Mean,2016 - Median,2016 - Mean
,All families,87500.0,346900.0,83100.0,312900.0,90600.0,332100.0,105800.0,417300.0,117300.0,538400.0,118400.0,571500.0,139700.0,645900.0,85400.0,551300.0,83700.0,551300.0,97300.0,692000.0
Percentile of income,Less than 20,3400.0,46000.0,6600.0,55200.0,9400.0,69600.0,8600.0,70500.0,10600.0,71600.0,9500.0,92400.0,9400.0,121900.0,6800.0,129100.0,6300.0,88800.0,6500.0,89500.0
Percentile of income,20–39.9,45000.0,122600.0,46600.0,107700.0,52500.0,123900.0,48900.0,141800.0,50700.0,156100.0,42900.0,154500.0,43800.0,156200.0,28300.0,141400.0,23100.0,116200.0,32299.999999999996,128699.99999999999
Percentile of income,40–59.9,77700.0,189000.0,66300.0,169700.0,72700.0,160200.0,78800.0,186600.0,86200.0,220500.0,91500.0,247600.0,102000.0,243800.0,72800.0,220000.0,63700.0,173900.0,81500.0,207300.0
Percentile of income,60–79.9,124100.0,253800.0,127000.0,236200.0,119100.0,252600.0,165700.0,304500.0,195500.0,398800.0,203400.0,434300.0,238400.0,434400.0,142100.0,324900.0,164200.0,344000.0,168300.0,373500.0
Percentile of income,80–89.9,246200.0,415000.0,194100.0,379700.0,200600.0,403200.0,278100.0,480900.0,356500.0,619500.0,398900.0,623000.0,412500.0,705300.0,316800.0,627000.0,309900.0,655600.0,390600.0,771000.0
Percentile of income,90–100,724800.0,1830700.0,609900.0,1611500.0,556800.0,1704700.0,667400.0,2285200.0,1129400.0,3070500.0,1182300.0,3233100.0,1295800.0,3840600.0,1320000.0,3254400.0,1165900.0,3410800.0,1640100.0,4550200.0
Age of head (years),Less than 35,14600.0,87400.0,15500.0,76100.0,18800.0,67700.0,13500.0,94200.0,15900.0,122900.0,18000.0,93500.0,13700.0,122800.0,10300.0,72200.0,10700.0,77800.0,11000.0,76100.0
Age of head (years),35–44,105300.0,275400.0,74900.0,223500.0,81900.0,225100.0,93600.0,289900.0,105100.0,352200.0,88300.0,381500.0,102200.0,377900.0,46600.0,240300.0,48200.0,358000.0,59800.0,288600.0
Age of head (years),45–54,184200.0,515700.00000000006,131200.0,450900.0,148600.0,464600.0,155800.0,536800.0,182400.0,658900.0,184700.0,691700.0,214100.0,766900.0,130300.00000000001,633400.0,108600.0,546600.0,124200.0,727500.0
Age of head (years),55–64,182600.0,574300.0,191200.0,566800.0,180800.0,600600.0,188700.0,786000.0,251200.0,993500.0,320600.0,1079200.0,294300.0,1090700.0,198300.0,973200.0,171100.0,823300.0,187300.0,1167400.0
Age of head (years),65–74,143100.0,522000.0,165500.0,480500.0,173800.0,546100.0,216200.0,688600.0,240900.0,919200.0,241800.0,878800.0,277300.0,1176200.0,228400.0,937700.0,239300.0,1089800.0,223400.0,1066000.0
Age of head (years),75 or more,135200.0,450700.0,145700.0,359200.0,145600.0,404400.0,185300.0,458600.0,210400.0,635500.0,207400.0,671600.0,247300.0,739200.0,239600.0,749300.0,200800.0,665300.0,264800.0,1066900.0
Family structure,Single with child(ren),13500.0,118000.0,14300.0,90800.0,18800.0,113800.0,23800.0,151100.0,17900.0,129800.00000000001,26500.0,165700.0,26900.0,207200.0,17200.0,158800.0,14500.0,133100.0,21700.0,169700.0
Family structure,"Single, no child, age less than 55",15100.0,135400.0,25000.0,118800.0,27500.0,113700.0,22800.0,136000.0,26600.0,205200.0,26800.0,198800.0,29000.0,240100.0,16100.000000000002,129900.0,14600.0,152700.0,13800.0,182300.0
Family structure,"Single, no child, age 55 or more",76400.0,228800.0,97600.0,261700.0,110800.0,310000.0,128800.00000000001,363000.0,123800.0,393400.0,148100.0,448600.0,166600.0,451900.0,112700.0,432900.0,111400.0,384500.0,114800.0,508100.0
Family structure,Couple with child(ren),115700.0,375000.0,101400.0,345100.0,103100.0,336900.0,128500.0,440900.0,154000.0,597100.0,155400.0,641600.0,163000.0,695300.0,95800.0,614300.0,95300.0,607600.0,116700.0,721500.0
Family structure,"Couple, no child",207200.0,647700.0,174600.0,532100.0,180600.0,565800.0,219200.0,711800.0,240000.0,873600.0,265500.0,959600.0,261100.00000000003,1103100.0,227300.0,955900.0,220500.0,992700.0,226300.0,1257600.0
Education of head,No high school diploma,45000.0,155000.0,31300.0,117600.0,35500.0,131900.0,31100.0,116400.0,34600.0,141000.0,26200.0,173600.0,38400.0,165500.0,17800.0,122300.0,17700.0,112200.0,22800.0,157100.0
Education of head,High school diploma,68700.0,207800.0,64500.0,187400.0,81300.0,208200.0,79800.0,232800.0,78700.0,245500.0,87400.0,251100.0,93200.0,291500.0,62600.0,241100.0,54100.0,205800.0,67100.0,249500.0
Education of head,Some college,86000.0,344700.0,95900.0,281500.0,78300.0,285900.0,113100.0,331500.0,112300.0,377200.0,99900.0,384700.0,113600.0,418900.0,63200.0,302200.0,52300.0,328300.0,66000.0,340500.0
Education of head,College degree,234000.0,744600.0,183900.0,620100.0,189600.0,685300.0,251000.0,903900.0,329200.0,1225700.0,344200.0,1230300.0,373800.0,1460100.0,275900.0,1244500.0,285600.0,1219700.0,292100.0,1511100.0
Race or ethnicity of respondent,White non-Hispanic,132700.0,424400.0,116900.0,373000.0,120000.0,393100.0,141400.0,498400.0,166300.0,662300.0,179300.0,716500.0,198300.0,803700.0,144300.0,723500.0,146400.0,727800.0,171000.0,933700.0
Race or ethnicity of respondent,Black or African-American non-hispanic,7400.0,77300.0,16600.0,80700.0,17100.0,69100.0,22900.0,94500.0,26300.0,97000.0,26000.0,142900.0,24400.0,155700.0,17600.0,109800.0,13600.0,102100.0,17100.0,138000.0
Race or ethnicity of respondent,Hispanic or Latino,9700.0,84500.0,11400.0,90700.0,19000.0,96300.0,14500.0,128500.0,15500.0,119900.0,19400.0,158100.0,24400.0,215600.0,17900.0,127800.0,14200.0,111000.0,20600.0,191200.0
Race or ethnicity of respondent,Other or Multiple Race,65400.00000000001,286900.0,62300.0,331900.0,48900.0,324200.0,56600.0,323200.0,71300.0,419300.0,90200.0,369100.0,70300.0,457000.0,47100.0,370700.0,42500.0,383600.0,64700.0,457700.0
Current work status of head,Working for someone else,70900.0,212100.0,66200.0,205300.0,77000.0,214700.0,77900.0,248300.0,88200.0,306100.0,85500.0,343400.0,108900.0,407600.0,61000.0,330200.0,63900.0,324500.0,70500.0,413400.0
Current work status of head,Self-employed,316600.0,1215700.0,242000.0,1006100.0,244000.0,1098000.0,366500.0,1366300.0,477300.0,1710000.0,444500.0,1812500.0,450100.0,2274100.0,315700.0,1927400.0,370000.0,2234900.0,312000.0,2398100.0
Current work status of head,Retired,123400.0,340900.0,118200.0,318200.0,127100.0,352700.0,166800.0,453800.0,155900.0,615200.0,177800.0,596600.0,187700.0,629100.0,167000.0,536400.0,132000.0,523299.99999999994,158600.0,711200.0
Current work status of head,Other not working,1500.0,73300.0,5500.0,89100.0,5700.0,89200.0,5200.0,109200.0,10400.0,241500.0,15000.0,206400.0,6600.0,143800.0,13200.0,152000.0,9300.0,139500.0,8200.0,102000.0
Current occupation of head,Managerial or professional,202600.0,708000.0,170000.0,630400.0,173200.0,674700.0,195200.0,799500.0,267700.0,1041900.0000000001,251200.0,1100400.0,286100.0,1298500.0,184900.0,1157300.0,198300.0,1095700.0,205000.0,1349300.0
Current occupation of head,"Technical, sales, or services",50700.0,243900.0,61200.0,229700.0,58400.0,254000.0,60100.0,285000.0,63300.0,270500.0,57200.0,314800.0,85100.0,359300.0,36000.0,242200.0,32800.0,277100.0,43200.0,327700.0
Current occupation of head,Other occupation,69100.0,200800.0,54900.0,146700.0,70700.0,175000.0,73800.0,186600.0,65200.0,184800.0,71800.0,187600.0,75600.0,222500.0,51500.0,180000.0,51100.0,177500.0,51300.0,203900.0
Current occupation of head,Retired or other not working,82400.0,285200.0,83900.0,263900.0,97600.0,299100.0,120800.0,395800.0,130699.99999999999,554300.0,141300.0,536000.0,149800.0,553300.0,103300.0,453600.0,94000.0,450200.0,117600.0,616500.0
Region,Northeast,163000.0,402400.0,107500.0,353600.0,129699.99999999999,393100.0,139200.0,447700.0,126300.0,615000.0,205700.0,724000.0,184800.0,755700.0,132500.0,680000.0,133900.0,649800.0,145900.0,803800.0
Region,Midwest,98000.0,349700.0,95500.0,290500.0,102800.0,311900.0,118500.0,367500.0,144100.0,462500.0,146300.0,556900.0,124500.0,542900.0,75600.0,441900.0,78300.0,462000.0,97400.0,622000.0
Region,South,65900.0,245400.0,57900.0,236300.0,69100.0,292200.0,90400.0,394300.0,100000.0,510100.0,81100.0,443200.0,112700.0,581300.0,75400.0,487300.0,71700.0,465500.0,82100.0,601300.0
Region,West,85500.0,458300.0,119900.0,426800.0,85700.0,364000.0,90400.0,483600.0,120500.0,599100.0,120800.0,669000.0,181400.0,768600.0,81200.0,663100.0,89300.0,704200.0,107900.0,824900.0
Urbanicity,Metropolitan statistical area (MSA),86600.0,370500.0,88800.0,350100.0,92900.0,354200.0,106900.0,452400.0,119500.0,580500.0,132800.0,643200.0,153500.0,721100.0,86600.0,611900.0,87300.0,593200.0,99000.0,751200.0
Urbanicity,Non-MSA,92200.0,246800.0,65099.99999999999,149100.0,80000.0,203500.0,101900.0,213600.0,108400.0,276500.0,75400.0,224900.0,90600.0,280700.0,82400.0,261000.0,70100.0,269400.0,87700.0,276200.0
Housing status,Owner,187200.0,502500.0,165800.0,453000.0,163100.0,475800.0,194900.0,597400.0,233800.0,759900.0,234900.0,796800.0,271900.0,903400.0,192800.0,788600.0,201500.0,807300.0,231400.0,1034200.0
