SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families that saved (%),Percentage of families (%)
1,Internal-Real,1989,,All families,48000.0,75800.0,0.0,1.0
1,Internal-Real,1989,Percentile of income,Less than 20,11700.0,11100.0,0.0,0.2
1,Internal-Real,1989,Percentile of income,20–39.9,27300.0,27400.0,0.0,0.2
1,Internal-Real,1989,Percentile of income,40–59.9,48000.0,48300.0,0.0,0.2
1,Internal-Real,1989,Percentile of income,60–79.9,75900.0,76300.0,0.0,0.2
1,Internal-Real,1989,Percentile of income,80–89.9,111000.0,114100.0,0.0,0.1
1,Internal-Real,1989,Percentile of income,90–100,194700.0,317300.0,0.0,0.1
1,Internal-Real,1989,Age of head (years),Less than 35,38900.0,52000.0,0.0,0.281
1,Internal-Real,1989,Age of head (years),35–44,68200.0,92200.0,0.0,0.215
1,Internal-Real,1989,Age of head (years),45–54,72100.0,112700.0,0.0,0.152
1,Internal-Real,1989,Age of head (years),55–64,49300.0,89000.0,0.0,0.139
1,Internal-Real,1989,Age of head (years),65–74,30200.0,61900.0,0.0,0.125
1,Internal-Real,1989,Age of head (years),75 or more,25800.0,47300.0,0.0,0.08900000000000001
1,Internal-Real,1989,Family structure,Single with child(ren),25700.0,36600.0,0.0,0.11
1,Internal-Real,1989,Family structure,"Single, no child, age less than 55",33200.0,57800.0,0.0,0.156
1,Internal-Real,1989,Family structure,"Single, no child, age 55 or more",19400.0,32800.0,0.0,0.152
1,Internal-Real,1989,Family structure,Couple with child(ren),70500.0,96700.0,0.0,0.36200000000000004
1,Internal-Real,1989,Family structure,"Couple, no child",60400.0,103500.0,0.0,0.22
1,Internal-Real,1989,Education of head,No high school diploma,25400.0,36400.0,0.0,0.243
1,Internal-Real,1989,Education of head,High school diploma,42200.0,55800.0,0.0,0.322
1,Internal-Real,1989,Education of head,Some college,56500.0,76400.0,0.0,0.204
1,Internal-Real,1989,Education of head,College degree,87600.0,144400.0,0.0,0.231
1,Internal-Real,1989,Race or ethnicity of respondent,White non-Hispanic,56500.0,86800.0,0.0,0.748
1,Internal-Real,1989,Race or ethnicity of respondent,Black or African-American non-hispanic,21400.0,36900.0,0.0,0.128
1,Internal-Real,1989,Race or ethnicity of respondent,Hispanic or Latino,27300.0,41700.0,0.0,0.079
1,Internal-Real,1989,Race or ethnicity of respondent,Other or Multiple Race,42200.0,62400.0,0.0,0.045
1,Internal-Real,1989,Current work status of head,Working for someone else,60000.0,76600.0,0.0,0.57
1,Internal-Real,1989,Current work status of head,Self-employed,70100.0,172500.0,0.0,0.111
1,Internal-Real,1989,Current work status of head,Retired,27100.0,44500.0,0.0,0.252
1,Internal-Real,1989,Current work status of head,Other not working,13600.0,26100.0,0.0,0.066
1,Internal-Real,1989,Current occupation of head,Managerial or professional,88000.0,139000.0,0.0,0.21600000000000003
1,Internal-Real,1989,Current occupation of head,"Technical, sales, or services",46700.0,75000.0,0.0,0.222
1,Internal-Real,1989,Current occupation of head,Other occupation,56500.0,66300.0,0.0,0.243
1,Internal-Real,1989,Current occupation of head,Retired or other not working,23400.0,40600.0,0.0,0.319
1,Internal-Real,1989,Region,Northeast,54500.0,86900.0,0.0,0.20800000000000002
1,Internal-Real,1989,Region,Midwest,46600.0,79000.0,0.0,0.244
1,Internal-Real,1989,Region,South,40900.0,64700.0,0.0,0.344
1,Internal-Real,1989,Region,West,56500.0,79200.0,0.0,0.204
1,Internal-Real,1989,Urbanicity,Metropolitan statistical area (MSA),50100.0,80700.0,0.0,0.81
1,Internal-Real,1989,Urbanicity,Non-MSA,37700.0,54800.0,0.0,0.19
1,Internal-Real,1989,Housing status,Owner,62300.0,95400.0,0.0,0.639
1,Internal-Real,1989,Housing status,Renter or other,25700.0,41100.0,0.0,0.361
1,Internal-Real,1989,Percentile of net worth,Less than 25,19500.0,27300.0,0.0,0.25
1,Internal-Real,1989,Percentile of net worth,25–49.9,41100.0,46900.0,0.0,0.25
1,Internal-Real,1989,Percentile of net worth,50–74.9,58900.0,67400.0,0.0,0.25
1,Internal-Real,1989,Percentile of net worth,75–89.9,77900.0,95000.0,0.0,0.15
1,Internal-Real,1989,Percentile of net worth,90–100,146100.0,261200.0,0.0,0.1
1,Internal-Real,1992,,All families,44700.0,67100.0,0.5710000000000001,1.0
1,Internal-Real,1992,Percentile of income,Less than 20,11300.0,11000.0,0.302,0.2
1,Internal-Real,1992,Percentile of income,20–39.9,26600.0,26600.0,0.491,0.2
1,Internal-Real,1992,Percentile of income,40–59.9,44700.0,45500.0,0.5920000000000001,0.2
1,Internal-Real,1992,Percentile of income,60–79.9,70800.0,72500.0,0.7,0.2
1,Internal-Real,1992,Percentile of income,80–89.9,105700.0,107700.0,0.716,0.1
1,Internal-Real,1992,Percentile of income,90–100,180500.0,252000.0,0.82,0.1
1,Internal-Real,1992,Age of head (years),Less than 35,41300.0,50800.0,0.591,0.258
1,Internal-Real,1992,Age of head (years),35–44,60200.0,78200.0,0.569,0.228
1,Internal-Real,1992,Age of head (years),45–54,70000.0,95100.0,0.59,0.162
1,Internal-Real,1992,Age of head (years),55–64,49800.0,83100.0,0.5920000000000001,0.132
1,Internal-Real,1992,Age of head (years),65–74,29900.0,48600.0,0.541,0.126
1,Internal-Real,1992,Age of head (years),75 or more,23100.0,39200.0,0.494,0.094
1,Internal-Real,1992,Family structure,Single with child(ren),23300.0,35400.0,0.452,0.11199999999999999
1,Internal-Real,1992,Family structure,"Single, no child, age less than 55",33400.0,44700.0,0.519,0.162
1,Internal-Real,1992,Family structure,"Single, no child, age 55 or more",20500.0,31700.0,0.466,0.153
1,Internal-Real,1992,Family structure,Couple with child(ren),69400.0,93900.0,0.621,0.32799999999999996
1,Internal-Real,1992,Family structure,"Couple, no child",56700.0,82800.0,0.657,0.245
1,Internal-Real,1992,Education of head,No high school diploma,20600.0,29200.0,0.381,0.204
1,Internal-Real,1992,Education of head,High school diploma,40000.0,50400.0,0.568,0.3
1,Internal-Real,1992,Education of head,Some college,49800.0,63600.0,0.611,0.221
1,Internal-Real,1992,Education of head,College degree,79100.0,116200.0,0.682,0.275
1,Internal-Real,1992,Race or ethnicity of respondent,White non-Hispanic,51600.0,74200.0,0.611,0.753
1,Internal-Real,1992,Race or ethnicity of respondent,Black or African-American non-hispanic,28700.0,40200.0,0.424,0.127
1,Internal-Real,1992,Race or ethnicity of respondent,Hispanic or Latino,28800.0,38700.0,0.38799999999999996,0.075
1,Internal-Real,1992,Race or ethnicity of respondent,Other or Multiple Race,46400.0,72500.0,0.62,0.046
