SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,Median,Mean
4,Internal-Real,1989,,All families,87500.0,346900.0
4,Internal-Real,1989,Percentile of income,Less than 20,3400.0,46000.0
4,Internal-Real,1989,Percentile of income,20–39.9,45000.0,122600.0
4,Internal-Real,1989,Percentile of income,40–59.9,77700.0,189000.0
4,Internal-Real,1989,Percentile of income,60–79.9,124100.0,253800.0
4,Internal-Real,1989,Percentile of income,80–89.9,246200.0,415000.0
4,Internal-Real,1989,Percentile of income,90–100,724800.0,1830700.0
4,Internal-Real,1989,Age of head (years),Less than 35,14600.0,87400.0
4,Internal-Real,1989,Age of head (years),35–44,105300.0,275400.0
4,Internal-Real,1989,Age of head (years),45–54,184200.0,515700.00000000006
4,Internal-Real,1989,Age of head (years),55–64,182600.0,574300.0
4,Internal-Real,1989,Age of head (years),65–74,143100.0,522000.0
4,Internal-Real,1989,Age of head (years),75 or more,135200.0,450700.0
4,Internal-Real,1989,Family structure,Single with child(ren),13500.0,118000.0
4,Internal-Real,1989,Family structure,"Single, no child, age less than 55",15100.0,135400.0
4,Internal-Real,1989,Family structure,"Single, no child, age 55 or more",76400.0,228800.0
4,Internal-Real,1989,Family structure,Couple with child(ren),115700.0,375000.0
4,Internal-Real,1989,Family structure,"Couple, no child",207200.0,647700.0
4,Internal-Real,1989,Education of head,No high school diploma,45000.0,155000.0
4,Internal-Real,1989,Education of head,High school diploma,68700.0,207800.0
4,Internal-Real,1989,Education of head,Some college,86000.0,344700.0
4,Internal-Real,1989,Education of head,College degree,234000.0,744600.0
4,Internal-Real,1989,Race or ethnicity of respondent,White non-Hispanic,132700.0,424400.0
4,Internal-Real,1989,Race or ethnicity of respondent,Black or African-American non-hispanic,7400.0,77300.0
4,Internal-Real,1989,Race or ethnicity of respondent,Hispanic or Latino,9700.0,84500.0
4,Internal-Real,1989,Race or ethnicity of respondent,Other or Multiple Race,65400.00000000001,286900.0
4,Internal-Real,1989,Current work status of head,Working for someone else,70900.0,212100.0
4,Internal-Real,1989,Current work status of head,Self-employed,316600.0,1215700.0
4,Internal-Real,1989,Current work status of head,Retired,123400.0,340900.0
4,Internal-Real,1989,Current work status of head,Other not working,1500.0,73300.0
4,Internal-Real,1989,Current occupation of head,Managerial or professional,202600.0,708000.0
4,Internal-Real,1989,Current occupation of head,"Technical, sales, or services",50700.0,243900.0
4,Internal-Real,1989,Current occupation of head,Other occupation,69100.0,200800.0
4,Internal-Real,1989,Current occupation of head,Retired or other not working,82400.0,285200.0
4,Internal-Real,1989,Region,Northeast,163000.0,402400.0
4,Internal-Real,1989,Region,Midwest,98000.0,349700.0
4,Internal-Real,1989,Region,South,65900.0,245400.0
4,Internal-Real,1989,Region,West,85500.0,458300.0
4,Internal-Real,1989,Urbanicity,Metropolitan statistical area (MSA),86600.0,370500.0
4,Internal-Real,1989,Urbanicity,Non-MSA,92200.0,246800.0
4,Internal-Real,1989,Housing status,Owner,187200.0,502500.0
4,Internal-Real,1989,Housing status,Renter or other,3600.0,71700.0
4,Internal-Real,1989,Percentile of net worth,Less than 25,400.0,-1100.0
4,Internal-Real,1989,Percentile of net worth,25–49.9,39300.0,42800.0
4,Internal-Real,1989,Percentile of net worth,50–74.9,161600.0,166100.0
4,Internal-Real,1989,Percentile of net worth,75–89.9,392300.0,421600.0
4,Internal-Real,1989,Percentile of net worth,90–100,1284700.0,2317200.0
4,Internal-Real,1992,,All families,83100.0,312900.0
4,Internal-Real,1992,Percentile of income,Less than 20,6600.0,55200.0
4,Internal-Real,1992,Percentile of income,20–39.9,46600.0,107700.0
4,Internal-Real,1992,Percentile of income,40–59.9,66300.0,169700.0
4,Internal-Real,1992,Percentile of income,60–79.9,127000.0,236200.0
4,Internal-Real,1992,Percentile of income,80–89.9,194100.0,379700.0
4,Internal-Real,1992,Percentile of income,90–100,609900.0,1611500.0
4,Internal-Real,1992,Age of head (years),Less than 35,15500.0,76100.0
4,Internal-Real,1992,Age of head (years),35–44,74900.0,223500.0
4,Internal-Real,1992,Age of head (years),45–54,131200.0,450900.0
4,Internal-Real,1992,Age of head (years),55–64,191200.0,566800.0
4,Internal-Real,1992,Age of head (years),65–74,165500.0,480500.0
4,Internal-Real,1992,Age of head (years),75 or more,145700.0,359200.0
4,Internal-Real,1992,Family structure,Single with child(ren),14300.0,90800.0
4,Internal-Real,1992,Family structure,"Single, no child, age less than 55",25000.0,118800.0
4,Internal-Real,1992,Family structure,"Single, no child, age 55 or more",97600.0,261700.0
4,Internal-Real,1992,Family structure,Couple with child(ren),101400.0,345100.0
4,Internal-Real,1992,Family structure,"Couple, no child",174600.0,532100.0
