Characteristic,Sub-Characteristic,1989 - Income - Median ($),1989 - Mean ($),1989 - Percentage of families that saved (%),1989 - Percentage of families (%),1992 - Income - Median ($),1992 - Mean ($),1992 - Percentage of families that saved (%),1992 - Percentage of families (%),1995 - Income - Median ($),1995 - Mean ($),1995 - Percentage of families that saved (%),1995 - Percentage of families (%),1998 - Income - Median ($),1998 - Mean ($),1998 - Percentage of families that saved (%),1998 - Percentage of families (%),2001 - Income - Median ($),2001 - Mean ($),2001 - Percentage of families that saved (%),2001 - Percentage of families (%),2004 - Income - Median ($),2004 - Mean ($),2004 - Percentage of families that saved (%),2004 - Percentage of families (%),2007 - Income - Median ($),2007 - Mean ($),2007 - Percentage of families that saved (%),2007 - Percentage of families (%),2010 - Income - Median ($),2010 - Mean ($),2010 - Percentage of families that saved (%),2010 - Percentage of families (%),2013 - Income - Median ($),2013 - Mean ($),2013 - Percentage of families that saved (%),2013 - Percentage of families (%),2016 - Income - Median ($),2016 - Mean ($),2016 - Percentage of families that saved (%),2016 - Percentage of families (%)
,All families,26093.0,41040.0,n.a.,1.0,26647.0,40041.0,0.570576,1.0,30723.0,44668.0,0.551965,1.0,33447.0,53044.0,0.558737,1.0,40110.0,69159.0,0.592382,1.0,43135.0,70666.0,0.560936,1.0,47305.0,84149.0,0.564474,1.0,45728.0,78307.0,0.5196390000000001,1.0,46668.0,86596.0,0.530161,1.0,52657.0,102252.0,0.553828,1.0
Percentile of income,Less than 20,6262.0,5980.0,n.a.,0.19996,6764.0,6557.0,0.301828,0.19999,6861.0,6650.0,0.31434999999999996,0.2,8210.0,7865.0,0.3208,0.19998000000000002,10285.0,10015.0,0.298306,0.19997,11297.0,10810.0,0.339319,0.19996,12340.0,12301.0,0.340625,0.19997,13210.0,12891.0,0.32103099999999996,0.2,14203.0,13319.0,0.318978,0.19998000000000002,15190.0,14371.0,0.32130400000000003,0.2
Percentile of income,20–39.9,14612.0,14723.0,n.a.,0.2,15373.0,15883.0,0.49953600000000004,0.19998000000000002,17410.0,17597.0,0.433421,0.19999,20271.0,20141.0,0.449048,0.20001000000000002,24683.0,24130.0,0.5382589999999999,0.19996,25675.0,26081.0,0.439797,0.20001000000000002,28794.0,28302.0,0.44796199999999997,0.20001000000000002,28453.0,27911.0,0.439231,0.19999,28407.0,28567.0,0.403146,0.19998000000000002,31392.0,31818.0,0.452067,0.19998000000000002
Percentile of income,40–59.9,26093.0,25972.0,n.a.,0.19994,26647.0,27174.0,0.5840890000000001,0.2,30723.0,30126.0,0.5713170000000001,0.2,33447.0,33934.0,0.560647,0.19996,40110.0,40314.0,0.611244,0.20001000000000002,43135.0,43425.0,0.5408149999999999,0.20001000000000002,47305.0,47282.0,0.579204,0.19995000000000002,45728.0,46209.0,0.495889,0.2,46668.0,47243.0,0.496992,0.20001999999999998,52657.0,53370.0,0.572295,0.2
Percentile of income,60–79.9,40705.0,40975.0,n.a.,0.20001000000000002,42020.0,43257.0,0.702145,0.19994,45060.0,46283.0,0.670859,0.2,53718.0,54262.0,0.685991,0.20001000000000002,64794.0,65217.0,0.7170829999999999,0.19999,67783.0,69178.0,0.6951940000000001,0.19999,75070.0,76567.0,0.665426,0.20001999999999998,71133.0,73467.0,0.599246,0.20001000000000002,76090.0,78544.0,0.649213,0.19999,86074.0,87383.0,0.649219,0.19999
Percentile of income,80–89.9,59492.0,61324.0,n.a.,0.10007999999999999,63542.0,64242.99999999999,0.71028,0.10003999999999999,68614.0,69605.0,0.7021630000000001,0.09999000000000001,79056.0,79490.0,0.7340800000000001,0.10002000000000001,98733.0,98135.0,0.750757,0.09996000000000001,104756.0,106564.0,0.773942,0.10000999999999999,114148.0,116027.0,0.73019,0.09998,112796.0,114428.0,0.675666,0.09999000000000001,121743.0,124292.0,0.730827,0.10000999999999999,136706.0,138737.0,0.72531,0.10000999999999999
Percentile of income,90–100,104372.0,173723.0,n.a.,0.10000999999999999,107611.0,150355.0,0.82015,0.10006,112650.0,175723.0,0.8375149999999999,0.10003000000000001,130747.00000000001,218495.0,0.820181,0.10002000000000001,169698.0,313846.0,0.843001,0.1001,184863.0,301052.0,0.80506,0.10002000000000001,206700.0,396368.0,0.847928,0.10005000000000001,205268.0,347642.0,0.809879,0.10002000000000001,229283.0,406232.0,0.834002,0.10002000000000001,260248.0,509813.0,0.823126,0.10002000000000001
Age of head (years),Less than 35,20874.0,27909.0,n.a.,0.28128,24597.0,30305.0,0.591044,0.25763,25602.0,31231.0,0.5637530000000001,0.24766,27366.0,36104.0,0.529632,0.23274999999999998,32911.0,44201.0,0.52929,0.22734000000000001,32865.0,45131.0,0.549683,0.22187,37021.0,51744.0,0.588777,0.21647,34550.0,47659.0,0.545507,0.20968,35508.0,48698.0,0.555208,0.20759,40505.0,56368.0,0.5666749999999999,0.2026
Age of head (years),35–44,36530.0,49718.0,n.a.,0.21453,35870.0,46638.0,0.569262,0.22759000000000001,37891.0,48815.0,0.543462,0.23010999999999998,42569.0,59944.0,0.573155,0.23257000000000003,51423.0,77077.0,0.622525,0.22302,50324.0,73897.0,0.5803159999999999,0.20617999999999997,56560.0,83632.0,0.5644830000000001,0.1959,53858.0,80876.0,0.475389,0.18154,60872.0,101883.0,0.535389,0.17279,65821.0,97106.0,0.566884,0.16848
Age of head (years),45–54,38618.0,60459.0,n.a.,0.15138,42020.0,56671.0,0.589394,0.16248,39940.0,66225.0,0.580426,0.17853000000000002,50677.0,69554.0,0.5782609999999999,0.19196000000000002,54509.0,97319.0,0.617125,0.20602,61621.0,94277.0,0.584801,0.20765,63758.0,112273.0,0.5579999999999999,0.20774,60971.0,101990.0,0.517645,0.2113,60872.0,103680.0,0.5066539999999999,0.19632000000000002,69872.0,130160.0,0.550702,0.18337
