Characteristic,Sub-Characteristic,1989 - Education,1989 - Vehicle,1989 - Other,1992 - Education,1992 - Vehicle,1992 - Other,1995 - Education,1995 - Vehicle,1995 - Other,1998 - Education,1998 - Vehicle,1998 - Other,2001 - Education,2001 - Vehicle,2001 - Other,2004 - Education,2004 - Vehicle,2004 - Other,2007 - Education,2007 - Vehicle,2007 - Other,2010 - Education,2010 - Vehicle,2010 - Other,2013 - Education,2013 - Vehicle,2013 - Other,2016 - Education,2016 - Vehicle,2016 - Other
,All families,0.113,0.593992,0.293049,0.20980000000000001,0.562706,0.227486,0.2188,0.600345,0.1808,0.23559999999999998,0.541292,0.2231,0.23670000000000002,0.582779,0.1805,0.261,0.556413,0.1826,0.32880000000000004,0.512294,0.1589,0.45289999999999997,0.390347,0.156747,0.48619999999999997,0.377993,0.13576,0.48700000000000004,0.371019,0.141949
Percentile of income,Less than 20,0.4031,0.323218,0.27365,0.3556,0.276526,0.367912,0.4014,0.348613,0.25,0.4521,0.330883,0.217,0.3085,0.401496,0.29,0.5047,0.297,0.19829999999999998,0.4732,0.24743400000000002,0.2793,0.40880000000000005,0.27862,0.312562,0.5049,0.102797,0.39231900000000003,0.6496,0.19166799999999998,0.15872999999999998
Percentile of income,20–39.9,0.1379,0.46714500000000003,0.394922,0.2065,0.47525,0.318281,0.2987,0.501362,0.1999,0.325,0.518587,0.1564,0.2779,0.51722,0.20489999999999997,0.3098,0.395578,0.29460000000000003,0.3135,0.456186,0.2303,0.44630000000000003,0.320567,0.233129,0.5486,0.316801,0.134577,0.5679,0.28996,0.142113
Percentile of income,40–59.9,0.1182,0.590315,0.29149,0.3421,0.4305,0.227409,0.2426,0.569515,0.18789999999999998,0.275,0.578674,0.1463,0.2687,0.6417870000000001,0.0895,0.3049,0.604944,0.0902,0.32289999999999996,0.524749,0.1524,0.5411,0.348146,0.110771,0.51,0.422992,0.067053,0.5613,0.33375,0.104988
Percentile of income,60–79.9,0.11460000000000001,0.6374759999999999,0.24797,0.1413,0.680224,0.178504,0.16940000000000002,0.698771,0.1318,0.1917,0.541171,0.2671,0.2114,0.6818850000000001,0.1067,0.23370000000000002,0.618653,0.1477,0.3293,0.59107,0.0796,0.42579999999999996,0.461916,0.11225199999999999,0.49329999999999996,0.442835,0.063845,0.4521,0.442669,0.10524800000000001
Percentile of income,80–89.9,0.0472,0.828741,0.12404,0.1691,0.7474,0.083472,0.205,0.6484019999999999,0.1466,0.1855,0.593448,0.221,0.1906,0.711818,0.09759999999999999,0.1771,0.6502899999999999,0.1726,0.3715,0.568264,0.0603,0.5135000000000001,0.439679,0.046837,0.4719,0.436892,0.09123900000000001,0.5007,0.451826,0.047524
Percentile of income,90–100,0.0635,0.48531399999999997,0.451142,0.1107,0.612874,0.27647099999999997,0.14029999999999998,0.606567,0.2532,0.17190000000000003,0.5539999999999999,0.2741,0.2193,0.39565100000000003,0.385,0.18899999999999997,0.56482,0.2462,0.2455,0.490687,0.2638,0.3738,0.43642800000000004,0.18979500000000002,0.3912,0.46301400000000004,0.145738,0.2932,0.388009,0.318754
Age of head (years),Less than 35,0.2087,0.507975,0.283321,0.33509999999999995,0.449476,0.21539999999999998,0.3212,0.54397,0.1348,0.39549999999999996,0.41397100000000003,0.1905,0.3566,0.539871,0.1036,0.42700000000000005,0.45957000000000003,0.1134,0.5317000000000001,0.411468,0.056799999999999996,0.6576000000000001,0.256438,0.086,0.6834,0.266411,0.050206999999999995,0.6354,0.27228,0.09231400000000001
Age of head (years),35–44,0.081,0.612735,0.306298,0.2112,0.580669,0.20809999999999998,0.1744,0.645698,0.17989999999999998,0.17420000000000002,0.568228,0.2576,0.2514,0.5646070000000001,0.184,0.2659,0.612237,0.12179999999999999,0.242,0.575077,0.183,0.48090000000000005,0.37439900000000004,0.14471299999999998,0.5394,0.363294,0.097279,0.5286,0.362662,0.108698
Age of head (years),45–54,0.0759,0.66137,0.262694,0.07400000000000001,0.688962,0.237013,0.18469999999999998,0.5831069999999999,0.2322,0.1641,0.5891230000000001,0.24670000000000003,0.1506,0.65323,0.1962,0.2366,0.6351789999999999,0.1282,0.267,0.524938,0.20809999999999998,0.3641,0.507155,0.128711,0.37979999999999997,0.459799,0.160426,0.43090000000000006,0.333438,0.235651
