Characteristic,Sub-Characteristic,Aggregate - 1989 (%),Aggregate - 1992 (%),Aggregate - 1995 (%),Aggregate - 1998 (%),Aggregate - 2001 (%),Aggregate - 2004 (%),Aggregate - 2007 (%),Aggregate - 2010 (%),Aggregate - 2013 (%),Aggregate - 2016 (%),Median for debtors - 1989 (%),Median for debtors - 1992 (%),Median for debtors - 1995 (%),Median for debtors - 1998 (%),Median for debtors - 2001 (%),Median for debtors - 2004 (%),Median for debtors - 2007 (%),Median for debtors - 2010 (%),Median for debtors - 2013 (%),Median for debtors - 2016 (%),Debtors with ratio greater than 40 percent - 1989 (%),Debtors with ratio greater than 40 percent - 1992 (%),Debtors with ratio greater than 40 percent - 1995 (%),Debtors with ratio greater than 40 percent - 1998 (%),Debtors with ratio greater than 40 percent - 2001 (%),Debtors with ratio greater than 40 percent - 2004 (%),Debtors with ratio greater than 40 percent - 2007 (%),Debtors with ratio greater than 40 percent - 2010 (%),Debtors with ratio greater than 40 percent - 2013 (%),Debtors with ratio greater than 40 percent - 2016 (%),Debtors with any payment past due 60 days or more - 1989 (%),Debtors with any payment past due 60 days or more - 1992 (%),Debtors with any payment past due 60 days or more - 1995 (%),Debtors with any payment past due 60 days or more - 1998 (%),Debtors with any payment past due 60 days or more - 2001 (%),Debtors with any payment past due 60 days or more - 2004 (%),Debtors with any payment past due 60 days or more - 2007 (%),Debtors with any payment past due 60 days or more - 2010 (%),Debtors with any payment past due 60 days or more - 2013 (%),Debtors with any payment past due 60 days or more - 2016 (%)
,All families,0.126052,0.143844,0.141102,0.149591,0.1267,0.144842,0.146058,0.147203,0.121022,0.108705,0.15268,0.15942299999999998,0.162805,0.178779,0.167164,0.18056799999999998,0.186267,0.181676,0.159002,0.14685700000000002,0.100285,0.11434,0.117428,0.137847,0.117273,0.12354799999999999,0.14713800000000002,0.138602,0.109856,0.092116,0.07279200000000001,0.059960000000000006,0.07136,0.08103400000000001,0.070385,0.08925599999999999,0.071476,0.10849,0.09311,0.075462
Percentile of income,Less than 20,0.152626,0.16400700000000001,0.189281,0.190213,0.16149999999999998,0.181422,0.176405,0.235133,0.156626,0.16482399999999997,0.15329800000000002,0.135438,0.13114599999999998,0.171866,0.19623200000000002,0.194739,0.18821100000000002,0.15958,0.131424,0.11850300000000001,0.25898,0.269668,0.27059300000000003,0.295109,0.29667,0.27251000000000003,0.266563,0.26242,0.234497,0.219273,0.179258,0.109667,0.10034000000000001,0.13228199999999998,0.133104,0.165461,0.150813,0.21121099999999998,0.16441,0.140453
Percentile of income,20–39.9,0.125941,0.15726800000000002,0.172999,0.167054,0.154649,0.16777899999999998,0.17229399999999997,0.16842400000000002,0.146999,0.143807,0.15981299999999998,0.156815,0.178556,0.177595,0.165294,0.17526499999999998,0.16670100000000002,0.17509799999999998,0.152076,0.154942,0.14672000000000002,0.154013,0.19112400000000002,0.195065,0.159351,0.18541,0.197221,0.185894,0.180709,0.134169,0.12287000000000001,0.093486,0.108025,0.127863,0.1164,0.13570000000000002,0.11338200000000001,0.152094,0.140708,0.10989499999999999
Percentile of income,40–59.9,0.16281600000000002,0.163048,0.154156,0.186509,0.17345300000000002,0.19459900000000002,0.198907,0.194683,0.162076,0.153251,0.151556,0.157619,0.156866,0.19580999999999998,0.17808800000000002,0.194739,0.204209,0.20128900000000002,0.163581,0.143499,0.110889,0.117282,0.089465,0.159338,0.127619,0.139097,0.14477,0.152985,0.11186,0.084926,0.049311999999999995,0.069092,0.087838,0.09540599999999999,0.08073999999999999,0.10093,0.0832,0.103758,0.10029400000000001,0.09285600000000001
Percentile of income,60–79.9,0.1677,0.167119,0.180176,0.19212800000000002,0.167213,0.185926,0.21821400000000002,0.19369599999999998,0.16595300000000002,0.157014,0.17807800000000001,0.175633,0.190017,0.193849,0.180521,0.20632999999999999,0.21931,0.20393699999999998,0.177423,0.16097799999999998,0.053611000000000006,0.078281,0.078133,0.096454,0.061452,0.072852,0.12791,0.11094799999999999,0.059112,0.042561999999999996,0.059714,0.044064,0.06394899999999999,0.058475,0.039191,0.072115,0.042714,0.088309,0.072781,0.044364
Percentile of income,80–89.9,0.160696,0.15579700000000002,0.16727699999999998,0.16686199999999998,0.17022400000000001,0.17408300000000002,0.19726400000000002,0.181475,0.16626100000000002,0.15429600000000002,0.151108,0.16685099999999997,0.169721,0.177595,0.17194700000000002,0.181638,0.191331,0.19273099999999999,0.184591,0.16142499999999999,0.022823000000000003,0.036098,0.048649,0.03386,0.037021,0.027389999999999998,0.08123200000000001,0.053392,0.040805999999999995,0.042433,0.010838,0.018493,0.028426999999999997,0.037617,0.025568,0.023079000000000002,0.019155,0.053,0.042568,0.026307999999999998
Percentile of income,90–100,0.08136900000000001,0.113828,0.095655,0.104579,0.077779,0.094664,0.08498900000000001,0.09372899999999999,0.074279,0.062874,0.118723,0.139856,0.12332499999999999,0.13589600000000002,0.11204399999999999,0.127936,0.125543,0.13121,0.11828200000000001,0.114856,0.021559,0.023547,0.028612000000000002,0.030206,0.019646,0.015883,0.038081000000000004,0.028921000000000002,0.016285,0.014729,0.023509000000000002,0.009513,0.009632,0.017793,0.013191999999999999,0.00344,0.001653,0.021136,0.010433,0.008154
Age of head (years),Less than 35,0.180285,0.169141,0.178291,0.172327,0.1725,0.178457,0.197426,0.17017700000000002,0.149163,0.14074799999999998,0.160963,0.162623,0.169256,0.168675,0.177863,0.18057600000000001,0.175507,0.163178,0.137207,0.13143000000000002,0.122673,0.108034,0.121098,0.13106099999999998,0.12071300000000001,0.127108,0.149543,0.116813,0.080431,0.085167,0.112303,0.083016,0.088363,0.111367,0.118795,0.137108,0.094389,0.104368,0.116396,0.106456
Age of head (years),35–44,0.164427,0.181587,0.172526,0.176763,0.15118,0.182706,0.186247,0.18415600000000001,0.136472,0.15217,0.171237,0.189143,0.18296700000000002,0.19979399999999997,0.178048,0.205644,0.202829,0.20775,0.160995,0.160327,0.075256,0.123308,0.098541,0.12814899999999999,0.100228,0.12449299999999999,0.12651199999999999,0.164726,0.097884,0.088521,0.063812,0.068339,0.07747799999999999,0.083921,0.058600000000000006,0.11721,0.086158,0.157561,0.11412900000000001,0.10470499999999999
Age of head (years),45–54,0.122358,0.14901,0.15172,0.164656,0.122964,0.154225,0.150556,0.161725,0.138927,0.11829200000000001,0.15703699999999998,0.16071000000000002,0.167129,0.180011,0.173048,0.183937,0.196294,0.192502,0.18671600000000002,0.161198,0.111015,0.108724,0.12325799999999999,0.128528,0.11485300000000001,0.133139,0.162952,0.153952,0.118038,0.08637600000000001,0.044539,0.054100999999999996,0.074372,0.074183,0.061790000000000005,0.076032,0.07348099999999999,0.12575,0.120003,0.06944499999999999
Age of head (years),55–64,0.09047000000000001,0.11622099999999999,0.11862,0.134469,0.10615500000000001,0.116739,0.126502,0.125543,0.111776,0.09178599999999999,0.11907999999999999,0.148786,0.144982,0.176411,0.140986,0.15890700000000002,0.17649499999999999,0.177134,0.163581,0.15010300000000001,0.084291,0.1442,0.151485,0.14139,0.122467,0.10501200000000001,0.14785600000000002,0.130974,0.139853,0.10929,0.073676,0.046885,0.032605,0.07541400000000001,0.070375,0.041761,0.049184,0.08418900000000001,0.064106,0.05710899999999999
Age of head (years),65–74,0.052832,0.079223,0.071699,0.089922,0.091075,0.087058,0.096738,0.113217,0.08909800000000001,0.079996,0.107309,0.102592,0.123873,0.131552,0.156842,0.153936,0.184249,0.16957999999999998,0.14252900000000002,0.138043,0.08691399999999999,0.074675,0.11886100000000001,0.180714,0.146035,0.109631,0.152663,0.119981,0.123489,0.08496600000000001,0.033102,0.010206999999999999,0.053292,0.031222,0.014633,0.033574,0.044482999999999995,0.060675999999999994,0.046977000000000005,0.045237999999999993
Age of head (years),75 or more,0.021545,0.039967,0.025547,0.041016000000000004,0.037014,0.07438600000000001,0.044071,0.068,0.060400999999999996,0.06005099999999999,0.09515000000000001,0.033454000000000005,0.029293999999999997,0.08072499999999999,0.078533,0.128298,0.131911,0.141002,0.10719300000000001,0.124322,0.140575,0.11960599999999999,0.077635,0.217321,0.14598,0.133958,0.138645,0.11878999999999999,0.099831,0.105361,0.011833,0.018443,0.05443,0.011321000000000001,0.008495,0.038506,0.00989,0.031903,0.026934999999999997,0.027676
Percentile of net worth,Less than 25,0.11887700000000001,0.118157,0.135049,0.150207,0.133468,0.129918,0.149405,0.19302399999999997,0.166712,0.131415,0.103476,0.104763,0.117177,0.134542,0.114689,0.129826,0.120337,0.138627,0.12203699999999999,0.09875199999999999,0.082872,0.09995599999999999,0.101049,0.132306,0.116555,0.10457100000000001,0.106188,0.149533,0.123657,0.08443899999999999,0.175749,0.14382899999999998,0.146362,0.16269100000000003,0.17754899999999998,0.229929,0.168492,0.222073,0.20965299999999998,0.167222
Percentile of net worth,25–49.9,0.16427,0.176567,0.186097,0.20073799999999997,0.180749,0.196077,0.22531600000000002,0.192586,0.16919499999999998,0.16159800000000002,0.168628,0.189572,0.18955100000000003,0.199583,0.201347,0.214036,0.23409300000000002,0.210847,0.18070799999999998,0.174298,0.12148300000000001,0.131866,0.128723,0.161922,0.141267,0.161367,0.19474699999999998,0.152178,0.136408,0.108205,0.076025,0.055328999999999996,0.083212,0.097953,0.07122,0.11055899999999999,0.076471,0.133592,0.104348,0.088729
Percentile of net worth,50–74.9,0.17729299999999998,0.181457,0.18015599999999998,0.18293299999999998,0.166914,0.20616900000000002,0.204225,0.191807,0.168301,0.16794499999999998,0.186832,0.18511500000000003,0.19238,0.200399,0.18297799999999997,0.214213,0.217384,0.206035,0.178415,0.17667000000000002,0.109484,0.12354699999999999,0.12992499999999998,0.131344,0.11236399999999999,0.126522,0.156493,0.14191399999999998,0.101439,0.100694,0.038161,0.030627,0.043884,0.05469,0.036017,0.031977000000000005,0.042077,0.066996,0.050372,0.039168
Percentile of net worth,75–89.9,0.144858,0.144126,0.13980800000000002,0.148675,0.154329,0.15187699999999998,0.169875,0.159111,0.140411,0.133294,0.151556,0.15936999999999998,0.15379500000000002,0.177595,0.16865300000000003,0.179389,0.181731,0.16653600000000002,0.154456,0.149044,0.088666,0.103658,0.096465,0.12302199999999999,0.104608,0.10120100000000001,0.130309,0.109631,0.076779,0.077685,0.021869999999999997,0.022564999999999998,0.025003,0.010157000000000001,0.007063000000000001,0.009253,0.011583000000000001,0.020794999999999998,0.017863,0.018905
Percentile of net worth,90–100,0.06895,0.105745,0.09056900000000001,0.103343,0.070862,0.08706799999999999,0.08123799999999999,0.088104,0.065019,0.055789,0.11377599999999999,0.136076,0.127236,0.142419,0.11204399999999999,0.127004,0.127253,0.13527799999999998,0.113063,0.114856,0.071809,0.089667,0.11962099999999999,0.122308,0.08368,0.082774,0.111029,0.108825,0.077886,0.062514,0.017495,0.018151999999999998,0.007425,0.024259,0.0027050000000000004,0.001181,0.007436000000000001,0.012438,0.010329,0.003693
