Characteristic,Sub-Characteristic,1989 - Median,1989 - Mean,1992 - Median,1992 - Mean,1995 - Median,1995 - Mean,1998 - Median,1998 - Mean,2001 - Median,2001 - Mean,2004 - Median,2004 - Mean,2007 - Median,2007 - Mean,2010 - Median,2010 - Mean,2013 - Median,2013 - Mean,2016 - Median,2016 - Mean
,All families,47060.0,189370.0,49700.0,187070.0,57800.0,213120.0,71700.0,283640.0,86740.0,397560.0,93100.0,449150.0,121000.0,556800.0,77000.0,494920.0,81400.0,528420.0,97290.0,689510.0
Percentile of income,Less than 20,1920.0,24700.0,3940.0,33320.0,5960.0,44640.0,5770.0,49560.0,7900.0,53300.0,7420.0,71560.0,8790.0,105860.0,6060.0,116870.0,6200.0,87530.0,6600.0,91390.0
Percentile of income,20–39.9,24800.0,68060.0,27750.0,64819.99999999999,34700.0,80290.0,34600.0,97690.0,38540.0,118150.0,34370.0,123230.0,37800.0,134490.0,27700.0,129960.00000000001,21500.0,111350.0,31500.0,124070.0
Percentile of income,40–59.9,42120.0,102640.0,39550.0,101420.0,45800.0,101520.0,53350.0,125740.0,63740.0,163310.0,72450.0,195720.0,88400.0,210660.0,64930.00000000001,197110.0,61800.0,170070.0,81900.0,210650.0
Percentile of income,60–79.9,67500.0,136590.0,75410.0,139720.0,75400.0,159760.0,111700.0,204100.0,141600.0,295110.0,160000.0,339190.0,204700.0,371850.0,127100.0,292390.0,158710.0,333840.0,167270.0,373300.0
Percentile of income,80–89.9,134130.0,223650.0,119870.0,227950.0,128300.00000000001,258620.0,189000.0,329630.0,262300.0,453030.0,314000.0,493020.0,357500.0,614110.0,288930.0,569560.0,298400.0,629920.0,389700.0,770110.0
Percentile of income,90–100,395000.0,1005860.0,364800.0,963640.0,357100.0,1099930.0,452280.0,1552230.0,834500.0,2260840.0,925500.0,2538590.0,1120100.0,3306520.0,1190000.0,2906560.0,1134500.0,3248010.0,1639550.0,4525360.0
Age of head (years),Less than 35,8130.000000000001,49820.0,9290.0,45390.0,12000.0,43280.0,9100.0,67080.0,11700.0,85110.0,14200.0,73650.0,11710.0,106030.0,9300.0,65129.99999999999,10460.0,75430.0,11000.0,76200.0
Age of head (years),35–44,56550.0,148530.0,44700.0,133320.0,52100.0,144060.0,63500.0,196350.0,78500.0,260000.0,69450.0,299700.0,88650.0,326560.0,42360.0,216610.0,47050.0,347480.0,59700.0,288240.0
Age of head (years),45–54,98100.0,282010.0,78300.0,268980.0,92700.0,300710.0,105630.0,363520.0,134320.0,492030.0,145100.0,544250.0,185000.0,662450.0,117150.0,570140.0,105350.0,526040.0,124040.0,724130.0
Age of head (years),55–64,98170.0,308160.0,113800.0,339390.0,115510.0,382690.0,127900.0,533510.0,185280.0,736880.0,252000.0,847280.0,253700.0,936300.0,178700.0,878860.0,165720.0,795390.0,187300.0,1164370.0
Age of head (years),65–74,77600.0,292150.0,98700.0,288140.0,110960.0,350140.0,146500.0,466780.0,178000.0,676630.0,190200.0,692010.0,239400.0,1013400.0,206670.0,842540.0,232100.0,1047310.0,224000.0,1058920.0
Age of head (years),75 or more,72550.0,241510.0,86900.0,214250.0,93000.0,260050.0,125800.0,310370.0,156350.0,468190.0,163100.0,526250.0,213200.0,639170.0,216900.0,658230.0,195000.0,611430.0,264750.0,1064700.0
Family structure,Single with child(ren),7000.0,63510.0,8480.0,53060.0,12000.0,72770.0,16100.000000000002,104890.0,13040.0,95220.0,20600.0,130680.0,24730.0,178300.0,15650.0,143180.0,14160.0,129139.99999999999,21600.0,169770.0
Family structure,"Single, no child, age less than 55",8250.0,74980.0,15000.0,70740.0,17360.0,72620.0,15500.0,91860.0,19500.0,149320.0,21600.0,156450.0,25100.0,207890.0,14700.0,118240.0,14140.0,148000.0,14100.0,182240.0
Family structure,"Single, no child, age 55 or more",40680.0,122650.0,58560.0,156360.0,70750.0,198000.0,87000.0,245880.0,91400.0,291710.0,117200.0,350790.0,143900.0,390260.0,101300.0,381460.0,107900.0,372770.0,114400.0,507800.0
Family structure,Couple with child(ren),62601.0,203420.0,60301.0,206710.0,65900.0,216830.0,87050.0,300770.0,114050.0,441550.0,122170.0,505060.0,140900.0,599440.0,86400.0,552070.0,93010.0,587200.0,117300.0,719520.0
Family structure,"Couple, no child",111980.0,356290.0,103380.0,315740.0,115800.0,363160.0,148470.0,482240.0,175750.0,644590.0,208600.0,753230.0,223900.0,949190.0,204970.0,860250.0,213730.0,941420.0,225620.0,1250260.0
Education of head,No high school diploma,24180.0,83210.0,18700.0,70080.0,23000.0,83870.0,21000.0,78890.0,25410.0,105370.0,20600.0,136180.0,33100.0,142890.0,16300.0,110580.0,17350.0,108250.0,22820.0,157280.0
Education of head,High school diploma,36700.0,112600.0,38400.0,111750.0,51730.0,133270.0,54150.0,157730.0,58000.0,181210.0,68400.0,197360.0,80500.0,251780.0,56700.0,216380.0,52400.0,199740.0,67000.0,249450.0
Education of head,Some college,46660.0,184820.0,57500.0,168510.0,50250.0,182620.0,76150.0,225130.0,82950.0,273660.0,79120.0,302340.0,97310.0,361030.0,57000.0,273150.0,50400.0,318580.0,66040.0,340090.0
Education of head,College degree,127230.0,410370.0,109900.0,370690.0,120940.0,441240.0,172300.0,614270.0,242710.0,908300.0,269600.0,966510.0,324200.0,1256220.0,247930.0,1116320.0,277000.0,1163480.0,292110.0,1504170.0
Race or ethnicity of respondent,White non-Hispanic,72180.0,231320.0,69700.0,223010.0,76800.0,252410.0,95980.0,338820.0,122900.0,488970.0,140970.0,562960.0,171520.0,692610.0,129750.0,649150.0,141900.0,696510.0,171000.0,929840.0
Race or ethnicity of respondent,Black or African-American non-hispanic,4300.0,41500.0,9900.0,48170.0,10920.0,44000.0,15500.0,64080.0,19300.0,71660.0,20400.0,112330.0,21000.0,134450.0,15900.0,99280.0,13080.0,99030.0,17150.0,138060.0
Race or ethnicity of respondent,Hispanic or Latino,5000.0,45230.0,6790.0,54110.0,12500.0,61580.0,9830.0,87100.0,11700.0,88470.0,15340.0,124360.0,21100.0,186120.0,16550.0,115830.0,13800.0,107810.0,20720.0,191430.0
Race or ethnicity of respondent,Other or Multiple Race,36200.0,164050.0,37150.0,197940.0,31080.0,206940.0,38400.0,218680.0,52500.0,309250.0,70900.0,291140.0,60900.0,394820.0,42700.0,334110.0,40960.0,372840.0,64620.00000000001,457690.0
Current work status of head,Working for someone else,38300.0,114590.0,39550.0,122850.0,49500.0,137720.0,52400.0,169210.0,65400.00000000001,227970.0,67310.0,269990.0,93600.0,351640.0,55100.0,297660.0,62090.0,314780.0,70650.0,413220.0
Current work status of head,Self-employed,169500.0,664520.0,147000.0,601410.0,156100.0,706020.0,248400.0,923520.0,350000.0,1248500.0,347800.0,1423690.0,389000.0,1955970.0,284500.0,1719390.0,359500.0,2121080.0,312370.0,2379580.0
Current work status of head,Retired,67670.0,186290.0,70500.0,189700.0,81200.0,225950.0,113300.0,302870.0,115490.0,456040.0,139790.0,468810.0,161200.0,543540.0,150500.0,484130.0,128500.0,501090.0,158400.0,709700.0
Current work status of head,Other not working,580.0,46580.0,3300.0,53120.0,3640.0,57030.0,3600.0,107870.0,7800.0,178230.0,11650.0,162170.0,5700.0,123570.0,11900.0,134720.0,9060.0,135150.0,8170.0,102040.0
Current occupation of head,Managerial or professional,111780.0,383750.0,101780.0,377300.0,110790.0,435230.0,132800.0,544350.0,198100.0,769150.0,197400.0,864650.0,247200.0,1117510.0,166300.0,1035920.0000000001,192600.0,1047790.0,205000.0,1343060.0
Current occupation of head,"Technical, sales, or services",27930.0,130660.0,36600.0,137370.0,36950.0,160080.0,41300.0,192770.0,46300.0,197580.0,45360.0,247490.0,73880.0,310310.0,32520.000000000004,218390.0,31660.0,267590.0,43200.0,326060.0
Current occupation of head,Other occupation,36960.0,111530.0,32770.0,87490.0,45700.0,113020.0,49800.0,125800.0,49660.0,136340.0,56820.0,147610.0,64750.0,192120.0,46580.0,162440.0,49240.0,172310.0,51600.0,204240.0
Current occupation of head,Retired or other not working,44001.0,157170.0,50001.0,157320.0,62260.0,191610.0,82300.0,268950.0,96600.0,410860.0,110700.0,421220.0,129000.0,477970.0,93400.0,409370.0,90800.0,431360.0,116620.0,615220.0
Housing status,Owner,100590.0,272610.0,99100.0,270780.0,103850.0,305430.0,132200.0,406070.0,172700.0,561030.0,184700.0,626160.0,234950.0,778680.0,173010.0,707950.0,195500.0,773410.0,231420.0,1030760.0
Housing status,Renter or other,2000.0,42210.0,3250.0,38710.0,4820.0,43870.0,4200.0,43250.0,4820.0,55120.0,4050.0,54190.0,5100.0,71260.0,5100.0,56730.0,5400.0,70390.0,5000.0,90200.0
Percentile of net worth,Less than 25,110.0,-540.0,500.0,-560.0,950.0,-150.0,500.0,-1850.0,1200.0,80.0,1700.0,-1330.0,1310.0,-2110.0,0.0,-12140.0,0.0,-12970.0,100.0,-11900.0
Percentile of net worth,25–49.9,21000.0,23150.0,23580.0,25470.0,28320.0,30630.0,32840.0,35970.0,41000.0,44460.0,43600.0,47160.0,54210.0,58130.0,32299.999999999996,35630.0,31360.0,35860.0,39920.0,44670.0
Percentile of net worth,50–74.9,87300.0,89720.0,87900.0,90750.0,95120.0,99630.0,120760.0,128699.99999999999,157900.0,167420.0,171100.0,185850.0,220590.0,227740.0,156800.0,168090.0,168230.0,177710.0,192050.0,204060.0
Percentile of net worth,75–89.9,211650.0,227710.0,204401.0,219060.0,221710.0,238720.0,310930.0,322690.0,431450.0,452350.0,509900.0,528900.0,572200.0,588020.0,479920.0,525010.0,505080.0,546250.0,605000.0,659160.0
Percentile of net worth,90–100,691000.0,1269330.0,668000.0,1252720.0,684350.0,1447390.0,900300.0,1944460.0,1316800.0,2765460.0,1429500.0,3118720.0,1897200.0,3974890.0,1863800.0,3681880.0,1871600.0,3962430.0,2386500.0,5310880.0
