Year,Characteristic,Sub-Characteristic,Secured by primary residence - Mortgages (%),Secured by primary residence - HELOC (%),Other residential debt (%),Credit card balances (%),Lines of credit not secured by residential property (%),Installment loans - Education loans (%),Installment loans - Vehicle loans (%),Installment loans - Other loans (%),Other (%),Any debt (%),Secured by primary residence - Mortgages ($),Secured by primary residence - HELOC ($),Other residential debt ($),Credit card balances ($),Lines of credit not secured by residential property ($),Installment loans - Education loans ($),Installment loans - Vehicle loans ($),Installment loans - Other loans ($),Other ($),Any debt ($)
1989,,All families,0.3858,0.031400000000000004,0.0516,0.396605,0.0316,0.08929999999999999,0.346665,0.219998,0.0666,0.7226980000000001,31000.0,19000.0,26000.0,900.0,2000.0,3000.0,6000.0,1310.0,2000.0,15000.0
1989,Percentile of income,Less than 20,0.0745,,,0.14971399999999999,,0.08470000000000001,0.122703,0.205486,0.058499999999999996,0.47213700000000003,7000.0,,,300.0,,2680.0,2000.0,500.0,500.0,1700.0
1989,Percentile of income,20–39.9,0.2212,,,0.282391,,0.08259999999999999,0.21706199999999998,0.234757,0.0525,0.596206,12000.0,,,600.0,,3000.0,3000.0,1000.0,1000.0,5000.0
1989,Percentile of income,40–59.9,0.3732,0.024,0.0326,0.487543,,0.0762,0.416483,0.228963,0.047599999999999996,0.779607,21000.0,8000.0,14000.0,800.0,,4000.0,6000.0,1500.0,900.0,12000.0
1989,Percentile of income,60–79.9,0.5538000000000001,0.0404,0.055999999999999994,0.573531,0.042199999999999994,0.1217,0.508295,0.267833,0.0608,0.8601030000000001,36000.0,15000.0,14000.0,1000.0,2000.0,3000.0,6240.0,2000.0,1000.0,28200.0
1989,Percentile of income,80–89.9,0.6981999999999999,0.0415,0.1069,0.576533,0.085,0.08,0.551983,0.193483,0.0789,0.9351990000000001,41000.0,25000.0,27000.0,1290.0,2000.0,2000.0,8000.0,2000.0,4000.0,40000.0
1989,Percentile of income,90–100,0.7136,0.11789999999999999,0.1943,0.402944,0.0584,0.0824,0.385343,0.132445,0.14859999999999998,0.875411,60000.0,24000.0,40000.0,2200.0,5000.0,2890.0,7000.0,8000.0,5000.0,74000.0
1989,Age of head (years),Less than 35,0.3477,,0.016200000000000003,0.44526299999999996,0.043899999999999995,0.1711,0.376907,0.306998,0.0611,0.798433,44000.0,,17500.0,1000.0,1400.0,3300.0,5000.0,1000.0,800.0,11420.0
1989,Age of head (years),35–44,0.5755,0.0447,0.0696,0.5047820000000001,0.0472,0.1091,0.504854,0.3002,0.0848,0.8862380000000001,39000.0,15000.0,35000.0,1000.0,3000.0,2000.0,6670.0,2000.0,1000.0,30300.0
1989,Age of head (years),45–54,0.5687,0.0622,0.10640000000000001,0.49258899999999994,0.04,0.0726,0.475634,0.215176,0.0944,0.851976,25000.0,21000.0,20000.0,1000.0,1000.0,4000.0,6000.0,2300.0,3000.0,24000.0
1989,Age of head (years),55–64,0.3411,0.057699999999999994,0.0738,0.329075,0.015,0.0412,0.276664,0.12264599999999999,0.0808,0.7077939999999999,20000.0,19000.0,34000.0,1000.0,2000.0,2000.0,5000.0,990.0,3000.0,9500.0
1989,Age of head (years),65–74,0.20739999999999997,,0.0412,0.27065,,,0.13981,0.113016,0.0329,0.496663,10000.0,,14000.0,550.0,,,4000.0,850.0,2000.0,5000.0
1989,Age of head (years),75 or more,0.0579,,,0.100653,,,0.050273000000000005,0.061866000000000004,0.0187,0.209668,11000.0,,,200.0,,,3000.0,2000.0,5000.0,2950.0
1989,Family structure,Single with child(ren),0.3085,,0.0354,0.356002,,0.16949999999999998,0.269251,0.252121,0.056299999999999996,0.709635,25000.0,,27000.0,800.0,,2000.0,4000.0,500.0,700.0,6420.0
1989,Family structure,"Single, no child, age less than 55",0.1942,,0.0252,0.349967,0.04650000000000001,0.1523,0.30048400000000003,0.209913,0.0496,0.708038,41000.0,,39000.0,900.0,2000.0,3000.0,5000.0,1000.0,800.0,7000.0
1989,Family structure,"Single, no child, age 55 or more",0.1359,,0.0194,0.19947399999999998,,,0.088451,0.082838,0.0163,0.372328,7000.0,,8000.0,500.0,,,3000.0,900.0,440.0,2950.0
1989,Family structure,Couple with child(ren),0.6221,0.0559,0.064,0.538085,0.0365,0.0885,0.506528,0.304135,0.0882,0.9151990000000001,35000.0,20000.0,30000.0,1080.0,2000.0,4000.0,6240.0,2000.0,2000.0,28960.0
1989,Family structure,"Couple, no child",0.3444,0.0285,0.0803,0.353668,0.036699999999999997,0.0584,0.33382399999999995,0.167587,0.0832,0.6654000000000001,32000.0,19000.0,25000.0,800.0,2500.0,4000.0,6000.0,2000.0,4000.0,14450.0
1989,Education of head,No high school diploma,0.2183,,0.0139,0.237021,,0.0151,0.234128,0.230713,0.031200000000000002,0.556217,15000.0,,11000.0,600.0,,2000.0,5000.0,900.0,700.0,5070.0
1989,Education of head,High school diploma,0.3457,0.032,0.0434,0.40765799999999996,0.026099999999999998,0.0698,0.37495100000000003,0.212928,0.0553,0.703074,24000.0,18000.0,14000.0,900.0,2000.0,2680.0,5000.0,830.0,1000.0,11000.0
1989,Education of head,Some college,0.4788,0.0394,0.0447,0.504861,0.0507,0.12689999999999999,0.40298,0.25337,0.0751,0.833963,30000.0,25000.0,24000.0,1000.0,2000.0,3000.0,6000.0,2000.0,3000.0,18000.0
1989,Education of head,College degree,0.5344,0.0479,0.1085,0.453023,0.0431,0.1609,0.375666,0.18933499999999998,0.1118,0.826108,47000.0,16000.0,35000.0,1100.0,2000.0,4000.0,6000.0,2950.0,2000.0,41550.0
1989,Race or ethnicity of respondent,White non-Hispanic,0.4194,0.0381,0.0575,0.41428800000000005,0.0304,0.08310000000000001,0.364923,0.208672,0.0718,0.73213,33000.0,18000.0,27000.0,950.0,3000.0,3000.0,6000.0,2000.0,2000.0,18830.0
1989,Race or ethnicity of respondent,Black or African-American non-hispanic,0.2475,,0.026600000000000002,0.333501,,0.12300000000000001,0.271905,0.229458,0.0342,0.650851,14000.0,,7000.0,600.0,,2000.0,5000.0,700.0,280.0,5000.0
1989,Race or ethnicity of respondent,Hispanic or Latino,0.30829999999999996,,0.0332,0.346684,,0.09910000000000001,0.296437,0.298931,0.0676,0.7241110000000001,41000.0,,34000.0,1100.0,,4000.0,5000.0,690.0,3000.0,8820.0
1989,Race or ethnicity of respondent,Other or Multiple Race,0.3539,,0.056600000000000004,0.369219,,,0.343044,0.242544,,0.76634,27000.0,,54000.0,600.0,,,7000.0,800.0,,11000.0
1989,Current work status of head,Working for someone else,0.4877,0.0418,0.057699999999999994,0.533074,0.045599999999999995,0.1188,0.46774299999999996,0.25382899999999997,0.0748,0.863546,36000.0,19000.0,28000.0,1000.0,2000.0,3000.0,6000.0,1500.0,2000.0,20000.0
1989,Current work status of head,Self-employed,0.4954,0.0404,0.0862,0.293477,0.0446,0.0836,0.360572,0.234071,0.1075,0.800845,32000.0,22000.0,40000.0,1000.0,10000.0,3000.0,8000.0,4000.0,5000.0,26000.0
1989,Current work status of head,Retired,0.159,0.0095,0.0291,0.18321300000000001,,0.0141,0.130471,0.130944,0.0332,0.402231,11000.0,7000.0,14000.0,510.0,,2000.0,5000.0,900.0,1000.0,5000.0
1989,Current work status of head,Other not working,0.1891,,,0.208726,,0.1313,0.10538700000000001,0.244283,,0.6000800000000001,13000.0,,,600.0,,2000.0,3000.0,500.0,,3790.0
