SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families that saved (%),Percentage of families (%)
1,Public-Nominal,1989,,All families,26093.0,41040.0,0.0,1.0
1,Public-Nominal,1989,Percentile of income,Less than 20,6262.0,5980.0,0.0,0.19996
1,Public-Nominal,1989,Percentile of income,20–39.9,14612.0,14723.0,0.0,0.2
1,Public-Nominal,1989,Percentile of income,40–59.9,26093.0,25972.0,0.0,0.19994
1,Public-Nominal,1989,Percentile of income,60–79.9,40705.0,40975.0,0.0,0.20001000000000002
1,Public-Nominal,1989,Percentile of income,80–89.9,59492.0,61324.0,0.0,0.10007999999999999
1,Public-Nominal,1989,Percentile of income,90–100,104372.0,173723.0,0.0,0.10000999999999999
1,Public-Nominal,1989,Age of head (years),Less than 35,20874.0,27909.0,0.0,0.28128
1,Public-Nominal,1989,Age of head (years),35–44,36530.0,49718.0,0.0,0.21453
1,Public-Nominal,1989,Age of head (years),45–54,38618.0,60459.0,0.0,0.15138
1,Public-Nominal,1989,Age of head (years),55–64,26093.0,47718.0,0.0,0.13852
1,Public-Nominal,1989,Age of head (years),65–74,16700.0,35769.0,0.0,0.12560000000000002
1,Public-Nominal,1989,Age of head (years),75 or more,13568.0,25579.0,0.0,0.08868999999999999
1,Public-Nominal,1989,Family structure,Single with child(ren),13568.0,19605.0,0.0,0.11016
1,Public-Nominal,1989,Family structure,"Single, no child, age less than 55",17743.0,30997.0,0.0,0.1558
1,Public-Nominal,1989,Family structure,"Single, no child, age 55 or more",10437.0,17627.0,0.0,0.15213
1,Public-Nominal,1989,Family structure,Couple with child(ren),37574.0,52020.0,0.0,0.36174999999999996
1,Public-Nominal,1989,Family structure,"Couple, no child",32354.999999999996,57007.0,0.0,0.22016
1,Public-Nominal,1989,Education of head,No high school diploma,13568.0,19533.0,0.0,0.24258
1,Public-Nominal,1989,Education of head,High school diploma,22962.0,29956.0,0.0,0.32136000000000003
1,Public-Nominal,1989,Education of head,Some college,30268.0,40974.0,0.0,0.20370000000000002
1,Public-Nominal,1989,Education of head,College degree,46967.0,78880.0,0.0,0.23235
1,Public-Nominal,1989,Race or ethnicity of respondent,White non-Hispanic,30268.0,47097.0,0.0,0.7481300000000001
1,Public-Nominal,1989,Race or ethnicity of respondent,Black or African-American non-hispanic,11481.0,19810.0,0.0,0.12735
1,Public-Nominal,1989,Race or ethnicity of respondent,Hispanic or Latino,14612.0,22347.0,0.0,0.07912
1,Public-Nominal,1989,Race or ethnicity of respondent,Other or Multiple Race,22962.0,33354.0,0.0,0.0454
1,Public-Nominal,1989,Current work status of head,Working for someone else,32354.999999999996,41123.0,0.0,0.57001
1,Public-Nominal,1989,Current work status of head,Self-employed,37574.0,95085.0,0.0,0.11131
1,Public-Nominal,1989,Current work status of head,Retired,14612.0,24118.0,0.0,0.25225000000000003
1,Public-Nominal,1989,Current work status of head,Other not working,7306.0,14024.0,0.0,0.06644
1,Public-Nominal,1989,Current occupation of head,Managerial or professional,46967.0,74697.0,0.0,0.21664000000000003
1,Public-Nominal,1989,Current occupation of head,"Technical, sales, or services",25049.0,40155.0,0.0,0.22579999999999997
1,Public-Nominal,1989,Current occupation of head,Other occupation,30268.0,36733.0,0.0,0.23887
1,Public-Nominal,1989,Current occupation of head,Retired or other not working,12525.0,22014.0,0.0,0.31867999999999996
1,Public-Nominal,1989,Housing status,Owner,33399.0,51735.0,0.0,0.63872
1,Public-Nominal,1989,Housing status,Renter or other,13568.0,22130.0,0.0,0.36128
1,Public-Nominal,1989,Percentile of net worth,Less than 25,10437.0,14951.0,0.0,0.24996
1,Public-Nominal,1989,Percentile of net worth,25–49.9,21918.0,25074.0,0.0,0.24999
1,Public-Nominal,1989,Percentile of net worth,50–74.9,31312.0,36091.0,0.0,0.25005
1,Public-Nominal,1989,Percentile of net worth,75–89.9,41749.0,51146.0,0.0,0.14981999999999998
1,Public-Nominal,1989,Percentile of net worth,90–100,78279.0,143207.0,0.0,0.10019
1,Public-Nominal,1992,,All families,26647.0,40041.0,0.570576,1.0
1,Public-Nominal,1992,Percentile of income,Less than 20,6764.0,6557.0,0.301828,0.19999
1,Public-Nominal,1992,Percentile of income,20–39.9,15373.0,15883.0,0.49953600000000004,0.19998000000000002
1,Public-Nominal,1992,Percentile of income,40–59.9,26647.0,27174.0,0.5840890000000001,0.2
1,Public-Nominal,1992,Percentile of income,60–79.9,42020.0,43257.0,0.702145,0.19994
1,Public-Nominal,1992,Percentile of income,80–89.9,63542.0,64242.99999999999,0.71028,0.10003999999999999
1,Public-Nominal,1992,Percentile of income,90–100,107611.0,150355.0,0.82015,0.10006
1,Public-Nominal,1992,Age of head (years),Less than 35,24597.0,30305.0,0.591044,0.25763
1,Public-Nominal,1992,Age of head (years),35–44,35870.0,46638.0,0.569262,0.22759000000000001
1,Public-Nominal,1992,Age of head (years),45–54,42020.0,56671.0,0.589394,0.16248
1,Public-Nominal,1992,Age of head (years),55–64,29721.0,49673.0,0.592637,0.13196
1,Public-Nominal,1992,Age of head (years),65–74,17423.0,28990.0,0.541062,0.12634
1,Public-Nominal,1992,Age of head (years),75 or more,13323.0,23342.0,0.49383099999999996,0.094
1,Public-Nominal,1992,Family structure,Single with child(ren),14348.0,21063.0,0.45061100000000004,0.11138999999999999
1,Public-Nominal,1992,Family structure,"Single, no child, age less than 55",20497.0,26641.0,0.52261,0.16033999999999998
1,Public-Nominal,1992,Family structure,"Single, no child, age 55 or more",12298.0,18913.0,0.46752699999999997,0.15251
1,Public-Nominal,1992,Family structure,Couple with child(ren),40995.0,55972.0,0.62112,0.32850999999999997
1,Public-Nominal,1992,Family structure,"Couple, no child",33821.0,49148.0,0.652141,0.24725000000000003
1,Public-Nominal,1992,Education of head,No high school diploma,12298.0,17430.0,0.381054,0.20344
1,Public-Nominal,1992,Education of head,High school diploma,23572.0,30083.0,0.567754,0.30015000000000003
1,Public-Nominal,1992,Education of head,Some college,29721.0,37954.0,0.610912,0.22131
1,Public-Nominal,1992,Education of head,College degree,47144.0,69307.0,0.681357,0.2751
1,Public-Nominal,1992,Race or ethnicity of respondent,White non-Hispanic,30746.0,44244.0,0.6104229999999999,0.7528900000000001
1,Public-Nominal,1992,Race or ethnicity of respondent,Black or African-American non-hispanic,17423.0,23972.0,0.42424599999999996,0.12667
1,Public-Nominal,1992,Race or ethnicity of respondent,Hispanic or Latino,17423.0,23039.0,0.387746,0.07492
1,Public-Nominal,1992,Race or ethnicity of respondent,Other or Multiple Race,27671.0,43230.0,0.619654,0.04552
1,Public-Nominal,1992,Current work status of head,Working for someone else,34845.0,43834.0,0.631995,0.54783
