SCF Table,!Calculation,Year,Sub-Characteristic,Percent of Respondents
16,Public-Nominal,1989,Purchase,0.7132
16,Public-Nominal,1989,Improvement,0.0242
16,Public-Nominal,1989,Other residential property,0.0231
16,Public-Nominal,1989,Investments excluding real estate,0.0512
16,Public-Nominal,1989,Vehicles,0.1052
16,Public-Nominal,1989,Goods and services,0.0519
16,Public-Nominal,1989,Education,0.031200000000000002
16,Public-Nominal,1989,Other,
16,Public-Nominal,1989,Total,1.0
16,Public-Nominal,1992,Purchase,0.7716
16,Public-Nominal,1992,Improvement,0.025099999999999997
16,Public-Nominal,1992,Other residential property,0.0236
16,Public-Nominal,1992,Investments excluding real estate,0.0256
16,Public-Nominal,1992,Vehicles,0.0701
16,Public-Nominal,1992,Goods and services,0.050499999999999996
16,Public-Nominal,1992,Education,0.0335
16,Public-Nominal,1992,Other,
16,Public-Nominal,1992,Total,1.0
16,Public-Nominal,1995,Purchase,0.7802
16,Public-Nominal,1995,Improvement,0.02
16,Public-Nominal,1995,Other residential property,0.024399999999999998
16,Public-Nominal,1995,Investments excluding real estate,0.015600000000000001
16,Public-Nominal,1995,Vehicles,0.0754
16,Public-Nominal,1995,Goods and services,0.0537
16,Public-Nominal,1995,Education,0.030600000000000002
16,Public-Nominal,1995,Other,
16,Public-Nominal,1995,Total,1.0
16,Public-Nominal,1998,Purchase,0.7541
16,Public-Nominal,1998,Improvement,0.0209
16,Public-Nominal,1998,Other residential property,0.0154
16,Public-Nominal,1998,Investments excluding real estate,0.0362
16,Public-Nominal,1998,Vehicles,0.0762
16,Public-Nominal,1998,Goods and services,0.0602
16,Public-Nominal,1998,Education,0.037000000000000005
16,Public-Nominal,1998,Other,
16,Public-Nominal,1998,Total,1.0
16,Public-Nominal,2001,Purchase,0.7720999999999999
16,Public-Nominal,2001,Improvement,0.0195
16,Public-Nominal,2001,Other residential property,0.0106
16,Public-Nominal,2001,Investments excluding real estate,0.031400000000000004
16,Public-Nominal,2001,Vehicles,0.0766
16,Public-Nominal,2001,Goods and services,0.0552
16,Public-Nominal,2001,Education,0.0346
16,Public-Nominal,2001,Other,
16,Public-Nominal,2001,Total,1.0
16,Public-Nominal,2004,Purchase,0.7929999999999999
16,Public-Nominal,2004,Improvement,0.019299999999999998
16,Public-Nominal,2004,Other residential property,0.0054
16,Public-Nominal,2004,Investments excluding real estate,0.0262
16,Public-Nominal,2004,Vehicles,0.0663
16,Public-Nominal,2004,Goods and services,0.0553
16,Public-Nominal,2004,Education,0.0346
16,Public-Nominal,2004,Other,
16,Public-Nominal,2004,Total,1.0
16,Public-Nominal,2007,Purchase,0.7977
16,Public-Nominal,2007,Improvement,0.0232
16,Public-Nominal,2007,Other residential property,0.0048
16,Public-Nominal,2007,Investments excluding real estate,0.0216
16,Public-Nominal,2007,Vehicles,0.0553
16,Public-Nominal,2007,Goods and services,0.0576
16,Public-Nominal,2007,Education,0.0398
16,Public-Nominal,2007,Other,
16,Public-Nominal,2007,Total,1.0
16,Public-Nominal,2010,Purchase,0.795
16,Public-Nominal,2010,Improvement,0.019299999999999998
16,Public-Nominal,2010,Other residential property,0.004
16,Public-Nominal,2010,Investments excluding real estate,0.024700000000000003
16,Public-Nominal,2010,Vehicles,0.047
16,Public-Nominal,2010,Goods and services,0.051699999999999996
16,Public-Nominal,2010,Education,0.0583
16,Public-Nominal,2010,Other,
16,Public-Nominal,2010,Total,1.0
16,Public-Nominal,2013,Purchase,0.7962
16,Public-Nominal,2013,Improvement,0.0166
16,Public-Nominal,2013,Other residential property,0.0048
16,Public-Nominal,2013,Investments excluding real estate,0.020499999999999997
16,Public-Nominal,2013,Vehicles,0.051100000000000007
16,Public-Nominal,2013,Goods and services,0.0398
16,Public-Nominal,2013,Education,0.071
16,Public-Nominal,2013,Other,
16,Public-Nominal,2013,Total,1.0
16,Public-Nominal,2016,Purchase,0.7612000000000001
16,Public-Nominal,2016,Improvement,0.0152
16,Public-Nominal,2016,Other residential property,0.0046
16,Public-Nominal,2016,Investments excluding real estate,0.025
16,Public-Nominal,2016,Vehicles,0.0629
16,Public-Nominal,2016,Goods and services,0.0433
16,Public-Nominal,2016,Education,0.08789999999999999
16,Public-Nominal,2016,Other,
16,Public-Nominal,2016,Total,1.0
