Characteristic,Sub-Characteristic,1989 - Income - Median ($),1989 - Mean ($),1989 - Percentage of families that saved (%),1989 - Percentage of families (%),1992 - Income - Median ($),1992 - Mean ($),1992 - Percentage of families that saved (%),1992 - Percentage of families (%),1995 - Income - Median ($),1995 - Mean ($),1995 - Percentage of families that saved (%),1995 - Percentage of families (%),1998 - Income - Median ($),1998 - Mean ($),1998 - Percentage of families that saved (%),1998 - Percentage of families (%),2001 - Income - Median ($),2001 - Mean ($),2001 - Percentage of families that saved (%),2001 - Percentage of families (%),2004 - Income - Median ($),2004 - Mean ($),2004 - Percentage of families that saved (%),2004 - Percentage of families (%),2007 - Income - Median ($),2007 - Mean ($),2007 - Percentage of families that saved (%),2007 - Percentage of families (%),2010 - Income - Median ($),2010 - Mean ($),2010 - Percentage of families that saved (%),2010 - Percentage of families (%),2013 - Income - Median ($),2013 - Mean ($),2013 - Percentage of families that saved (%),2013 - Percentage of families (%),2016 - Income - Median ($),2016 - Mean ($),2016 - Percentage of families that saved (%),2016 - Percentage of families (%)
,All families,48686.0,76574.0,n.a.,1.0,44688.0,67152.0,0.570576,1.0,48112.0,69950.0,0.551965,1.0,49349.0,78264.0,0.558737,1.0,54344.0,93700.0,0.592382,1.0,54858.0,89872.0,0.560936,1.0,54779.0,97446.0,0.564474,1.0,50545.0,86555.0,0.5196390000000001,1.0,48120.0,89289.0,0.530161,1.0,52657.0,102252.0,0.553828,1.0
Percentile of income,Less than 20,11685.0,11157.0,n.a.,0.19996,11344.0,10997.0,0.301828,0.19999,10745.0,10413.0,0.31434999999999996,0.2,12113.0,11604.0,0.3208,0.19998000000000002,13934.0,13569.0,0.298306,0.19997,14368.0,13748.0,0.339319,0.19996,14290.0,14244.0,0.340625,0.19997,14602.0,14249.0,0.32103099999999996,0.2,14645.0,13733.0,0.318978,0.19998000000000002,15190.0,14371.0,0.32130400000000003,0.2
Percentile of income,20–39.9,27264.0,27471.0,n.a.,0.2,25782.0,26637.0,0.49953600000000004,0.19998000000000002,27263.0,27557.0,0.433421,0.19999,29909.0,29717.0,0.449048,0.20001000000000002,33442.0,32692.999999999996,0.5382589999999999,0.19996,32654.000000000004,33170.0,0.439797,0.20001000000000002,33344.0,32774.0,0.44796199999999997,0.20001000000000002,31450.0,30851.0,0.439231,0.19999,29290.0,29455.0,0.403146,0.19998000000000002,31392.0,31818.0,0.452067,0.19998000000000002
Percentile of income,40–59.9,48686.0,48461.0,n.a.,0.19994,44688.0,45572.0,0.5840890000000001,0.2,48112.0,47177.0,0.5713170000000001,0.2,49349.0,50068.0,0.560647,0.19996,54344.0,54619.0,0.611244,0.20001000000000002,54858.0,55227.0,0.5408149999999999,0.20001000000000002,54779.0,54753.0,0.579204,0.19995000000000002,50545.0,51077.0,0.495889,0.2,48120.0,48712.0,0.496992,0.20001999999999998,52657.0,53370.0,0.572295,0.2
Percentile of income,60–79.9,75950.0,76453.0,n.a.,0.20001000000000002,70470.0,72545.0,0.702145,0.19994,70564.0,72479.0,0.670859,0.2,79258.0,80061.0,0.685991,0.20001000000000002,87786.0,88359.0,0.7170829999999999,0.19999,86205.0,87979.0,0.6951940000000001,0.19999,86932.0,88666.0,0.665426,0.20001999999999998,78625.0,81205.0,0.599246,0.20001000000000002,78456.0,80987.0,0.649213,0.19999,86074.0,87383.0,0.649219,0.19999
Percentile of income,80–89.9,111004.0,114422.0,n.a.,0.10007999999999999,106564.0,107739.0,0.71028,0.10003999999999999,107450.0,109001.0,0.7021630000000001,0.09999000000000001,116644.0,117285.0,0.7340800000000001,0.10002000000000001,133769.0,132959.0,0.750757,0.09996000000000001,133226.0,135526.0,0.773942,0.10000999999999999,132185.0,134361.0,0.73019,0.09998,124677.0,126480.0,0.675666,0.09999000000000001,125530.0,128157.99999999999,0.730827,0.10000999999999999,136706.0,138737.0,0.72531,0.10000999999999999
Percentile of income,90–100,194743.0,324142.0,n.a.,0.10000999999999999,180471.0,252156.0,0.82015,0.10006,176410.0,275183.0,0.8375149999999999,0.10003000000000001,192912.0,322381.0,0.820181,0.10002000000000001,229915.0,425214.0,0.843001,0.1001,235106.0,382873.0,0.80506,0.10002000000000001,239362.0,459000.0,0.847928,0.10005000000000001,226889.0,384259.0,0.809879,0.10002000000000001,236415.0,418868.0,0.834002,0.10002000000000001,260248.0,509813.0,0.823126,0.10002000000000001
Age of head (years),Less than 35,38949.0,52074.0,n.a.,0.28128,41250.0,50824.0,0.591044,0.25763,40093.0,48908.0,0.5637530000000001,0.24766,40377.0,53270.0,0.529632,0.23274999999999998,44590.0,59886.0,0.52929,0.22734000000000001,41797.0,57397.0,0.549683,0.22187,42871.0,59920.0,0.588777,0.21647,38189.0,52679.0,0.545507,0.20968,36613.0,50213.0,0.555208,0.20759,40505.0,56368.0,0.5666749999999999,0.2026
Age of head (years),35–44,68160.0,92767.0,n.a.,0.21453,60157.0,78215.0,0.569262,0.22759000000000001,59338.0,76445.0,0.543462,0.23010999999999998,62808.0,88446.0,0.573155,0.23257000000000003,69671.0,104428.0,0.622525,0.22302,64001.00000000001,93981.0,0.5803159999999999,0.20617999999999997,65497.0,96847.0,0.5644830000000001,0.1959,59530.0,89395.0,0.475389,0.18154,62765.0,105052.0,0.535389,0.17279,65821.0,97106.0,0.566884,0.16848
Age of head (years),45–54,72055.0,112808.0,n.a.,0.15138,70470.0,95041.0,0.589394,0.16248,62546.0,103708.0,0.580426,0.17853000000000002,74772.0,102624.0,0.5782609999999999,0.19196000000000002,73851.0,131853.0,0.617125,0.20602,78369.0,119900.0,0.584801,0.20765,73833.0,130014.00000000001,0.5579999999999999,0.20774,67393.0,112733.0,0.517645,0.2113,62765.0,106905.0,0.5066539999999999,0.19632000000000002,69872.0,130160.0,0.550702,0.18337
Age of head (years),55–64,48686.0,89036.0,n.a.,0.13852,49844.0,83306.0,0.592637,0.13196,52923.0,84594.0,0.580355,0.12508,56827.0,105413.0,0.609478,0.12843,61311.0,121244.0,0.620113,0.13247,69226.0,126907.0,0.5845199999999999,0.1524,63115.0,128511.0,0.5843010000000001,0.16849,60654.0,116562.0,0.513491,0.17515999999999998,56489.0,112825.0,0.554205,0.18735,60758.0,140686.0,0.550415,0.19224
Age of head (years),65–74,31159.0,66741.0,n.a.,0.12560000000000002,29219.0,48618.0,0.541062,0.12634,30471.0,58760.0,0.5004460000000001,0.12043,35891.0,68567.0,0.563482,0.11223000000000001,37622.0,78336.0,0.617648,0.1074,42450.0,75964.0,0.5710000000000001,0.10477,45253.0,106596.0,0.5668070000000001,0.10522999999999999,47175.0,83537.0,0.535941,0.11496,47074.0,100778.0,0.511518,0.12886,50328.0,105702.0,0.5431900000000001,0.14137
Age of head (years),75 or more,25317.0,47727.0,n.a.,0.08868999999999999,22344.0,39147.0,0.49383099999999996,0.094,25660.0,41493.0,0.517431,0.09820000000000001,23927.0,42748.0,0.486463,0.10206,30655.0,49708.0,0.555138,0.10374,30041.0,51936.0,0.45728499999999994,0.10711999999999999,26354.0,52967.0,0.493798,0.10617000000000001,31450.0,50664.0,0.540443,0.10735,29290.0,52306.0,0.496633,0.10708000000000001,39493.0,76969.0,0.535347,0.11195000000000001
Family structure,Single with child(ren),25317.0,36580.0,n.a.,0.11016,24063.0,35324.0,0.45061100000000004,0.11138999999999999,25660.0,32921.0,0.36930399999999997,0.11996000000000001,25422.0,37215.0,0.38953299999999996,0.11349999999999999,30655.0,39952.0,0.450216,0.11392,32654.000000000004,41826.0,0.399692,0.12093,33344.0,48787.0,0.414962,0.1226,32573.0,43389.0,0.380349,0.11992000000000001,29290.0,42731.0,0.36005499999999996,0.12101,32404.000000000004,53074.0,0.41356000000000004,0.12079000000000001
Family structure,"Single, no child, age less than 55",33106.0,57836.0,n.a.,0.1558,34375.0,44678.0,0.52261,0.16033999999999998,35282.0,41721.0,0.510856,0.15768000000000001,35891.0,45403.0,0.52004,0.16365,39016.0,61440.0,0.5595060000000001,0.15116,36572.0,49919.0,0.52793,0.1528,39298.0,54609.0,0.550353,0.13968999999999998,33696.0,46911.0,0.49808,0.14748,32429.000000000004,47299.0,0.511702,0.14126,33417.0,57259.0,0.540016,0.14177
Family structure,"Single, no child, age 55 or more",19474.0,32890.0,n.a.,0.15213,20625.0,31718.0,0.46752699999999997,0.15251,20849.0,34848.0,0.44357599999999997,0.1376,25422.0,38554.0,0.47975700000000004,0.13762,22295.0,44054.0,0.494229,0.13180999999999998,27429.0,42678.0,0.457218,0.14661,28581.0,42392.0,0.485473,0.14937,26957.0,43588.0,0.45459200000000005,0.1519,26152.0,42499.0,0.465235,0.16622,28354.0,51168.0,0.470803,0.17028
Family structure,Couple with child(ren),70108.0,97062.0,n.a.,0.36174999999999996,68751.0,93869.0,0.62112,0.32850999999999997,67357.0,94916.0,0.601156,0.3189,76267.0,106584.0,0.591156,0.32708,84999.0,127558.0,0.619913,0.31062999999999996,83593.0,125901.0,0.617467,0.31675000000000003,82169.0,130858.0,0.6027600000000001,0.31689,74132.0,120645.0,0.5277040000000001,0.31535,76364.0,126572.0,0.570581,0.30518999999999996,81011.0,135567.0,0.585797,0.28717
Family structure,"Couple, no child",60370.0,106366.0,n.a.,0.22016,56719.0,82425.0,0.652141,0.24725000000000003,59338.0,91619.0,0.655854,0.26586,62808.0,102433.0,0.658694,0.25815,69671.0,117721.0,0.679735,0.29248999999999997,74450.0,118102.0,0.644014,0.26292000000000004,71451.0,132759.0,0.63805,0.27143999999999996,68516.0,112180.0,0.622221,0.26535,69042.0,119196.0,0.611447,0.26632,74328.0,143145.0,0.639033,0.28
Education of head,No high school diploma,25317.0,36445.0,n.a.,0.24258,20625.0,29232.0,0.381054,0.20344,22452.0,32777.0,0.42752,0.18525,22432.0,32009.0,0.395285,0.16463999999999998,22295.0,34018.0,0.38658299999999995,0.16003,24817.0,32951.0,0.358934,0.14432999999999999,26199.0,36300.0,0.415767,0.13527,25834.0,37233.0,0.36924100000000004,0.11968999999999999,23014.0,31046.0,0.36336399999999996,0.11015000000000001,26329.0,38841.0,0.39265,0.12678
Education of head,High school diploma,42844.0,55894.0,n.a.,0.32136000000000003,39532.0,50450.0,0.567754,0.30015000000000003,40093.0,54835.0,0.505687,0.31735,43368.0,54592.0,0.5374,0.31866,45983.0,60697.0,0.566502,0.31727,45715.0,56978.0,0.540255,0.30595,42871.0,59186.0,0.5112639999999999,0.32858,40436.0,53117.0,0.473929,0.32191000000000003,37659.0,52276.0,0.47106499999999996,0.31297,40505.0,57221.0,0.505621,0.25962
Education of head,Some college,56476.0,76452.0,n.a.,0.20370000000000002,49844.0,63651.0,0.610912,0.22131,51319.0,65184.0,0.56058,0.24818,52340.0,73973.0,0.573137,0.24928,55737.0,77040.0,0.621081,0.23881,56164.0,73133.0,0.52762,0.24420999999999998,54779.0,78700.0,0.555676,0.24439,50545.0,66802.0,0.515918,0.25064,44982.0,67217.0,0.49518300000000004,0.25708,47594.0,67334.0,0.5424289999999999,0.2733
Education of head,College degree,87635.0,147180.0,n.a.,0.23235,79063.0,116232.0,0.681357,0.2751,75375.0,121572.0,0.694811,0.24922999999999998,88231.0,138950.0,0.671371,0.26742,98933.0,178245.0,0.7131770000000001,0.28388,100573.0,163085.0,0.703711,0.30551,98841.0,184589.0,0.70072,0.29175999999999996,88734.0,156797.0,0.628969,0.30777,89963.0,163315.0,0.6735599999999999,0.31980000000000003,92150.0,188277.0,0.6598120000000001,0.34029000000000004
Race or ethnicity of respondent,White non-Hispanic,56476.0,87876.0,n.a.,0.7481300000000001,51563.0,74201.0,0.6104229999999999,0.7528900000000001,51319.0,76935.0,0.590859,0.77589,56827.0,87076.0,0.599632,0.7685200000000001,61311.0,106311.0,0.631166,0.7538800000000001,62695.0,102456.0,0.6011310000000001,0.72214,60210.0,112108.0,0.587751,0.7068300000000001,58407.0,99350.0,0.558213,0.67435,57535.0,106908.0,0.57307,0.67188,60758.0,122688.0,0.593887,0.64728
Race or ethnicity of respondent,Black or African-American non-hispanic,21422.0,36963.0,n.a.,0.12735,29219.0,40202.0,0.42424599999999996,0.12667,27263.0,35848.0,0.379901,0.12795,28413.0,42172.0,0.375238,0.11592000000000001,33442.0,50556.0,0.460463,0.12592,35266.0,49595.0,0.42877200000000004,0.13057,35726.0,52506.0,0.454999,0.11728999999999999,33696.0,46868.0,0.392928,0.13001,32429.000000000004,44275.0,0.42078400000000005,0.13330999999999998,35442.0,54036.0,0.47464599999999996,0.146
Race or ethnicity of respondent,Hispanic or Latino,27264.0,41696.0,n.a.,0.07912,29219.0,38638.0,0.387746,0.07492,33678.0,49142.0,0.440465,0.056749999999999995,34395.0,46583.0,0.448543,0.07178,33442.0,52294.0,0.434461,0.07817,35266.0,50232.0,0.429543,0.08956,41680.0,55552.0,0.509583,0.08607,38189.0,55912.0,0.41897799999999996,0.09670999999999999,33475.0,45423.0,0.413261,0.09577999999999999,38480.0,57285.0,0.422916,0.10188000000000001
Race or ethnicity of respondent,Other or Multiple Race,42844.0,62234.0,n.a.,0.0454,46407.0,72500.0,0.619654,0.04552,54527.0,73098.0,0.505436,0.03941,49349.0,71085.0,0.507388,0.043769999999999996,47376.0,73770.0,0.585653,0.042030000000000005,57470.0,85060.0,0.560914,0.05772,59543.0,80892.0,0.576856,0.08981,47175.0,81454.0,0.5216299999999999,0.09892,41843.0,72775.0,0.49934199999999995,0.09903,50632.0,86920.0,0.543998,0.10483
Current work status of head,Working for someone else,60370.0,76730.0,n.a.,0.57001,58438.0,73513.0,0.631995,0.54783,57734.0,75868.0,0.603734,0.58265,59818.0,78914.0,0.598054,0.59186,64096.99999999999,93692.0,0.616115,0.6087899999999999,62695.0,89033.0,0.5921690000000001,0.6004999999999999,65497.0,96172.0,0.603128,0.59931,61777.0,92811.0,0.551936,0.56938,58581.0,89420.0,0.585126,0.5692900000000001,62783.0,104760.0,0.593994,0.56236
Current work status of head,Self-employed,70108.0,177416.0,n.a.,0.11131,75626.0,127676.0,0.59311,0.10951000000000001,59338.0,125589.0,0.634366,0.10286,77763.0,160381.0,0.610499,0.11263,84999.0,188461.0,0.704529,0.11704,84899.0,179815.0,0.687286,0.11845,88123.0,221505.0,0.627569,0.10456,70762.0,165033.0,0.550531,0.11385999999999999,73226.0,217334.0,0.6125160000000001,0.09672,70885.0,208929.0,0.621923,0.10648999999999999
Current work status of head,Retired,27264.0,45001.0,n.a.,0.25225000000000003,25782.0,38456.0,0.48117400000000005,0.26144,25660.0,43974.0,0.460071,0.25056,28413.0,48124.0,0.486143,0.2441,27868.0,53960.0,0.504359,0.22957999999999998,31347.0,54902.0,0.43951999999999997,0.23742000000000002,28581.0,59038.0,0.46604300000000004,0.24989999999999998,31967.0,48963.0,0.47290999999999994,0.24899000000000002,30650.0,53704.0,0.44196599999999997,0.27036,36455.0,68256.0,0.481981,0.27966
Current work status of head,Other not working,13632.0,26167.0,n.a.,0.06644,18906.0,35019.0,0.413705,0.08122,17641.0,28291.0,0.307744,0.06393,16450.0,33981.0,0.337351,0.051399999999999994,22295.0,49694.0,0.42719,0.04459,26123.0,47524.0,0.448718,0.04362,23817.0,40987.0,0.45275,0.04623,26957.0,40268.0,0.368082,0.06777999999999999,26152.0,44699.0,0.287993,0.06364,20253.0,38882.0,0.36454300000000006,0.05149
Current occupation of head,Managerial or professional,87635.0,139374.0,n.a.,0.21664000000000003,82501.0,123498.0,0.6742199999999999,0.2198,83394.0,128098.99999999999,0.6950069999999999,0.19804,89726.0,142211.0,0.68395,0.24195,97540.0,175486.0,0.724131,0.27077,98222.0,162674.0,0.676519,0.28256,98841.0,180515.0,0.7017319999999999,0.27478,89857.0,163853.0,0.6283850000000001,0.27715,89963.0,165982.0,0.690561,0.28584,91137.0,188899.0,0.675777,0.28363
Current occupation of head,"Technical, sales, or services",46738.0,74923.0,n.a.,0.22579999999999997,49844.0,63322.0,0.603926,0.23959,48112.0,66973.0,0.548839,0.24600999999999998,44863.0,69045.0,0.554011,0.21308,48770.0,72042.0,0.58254,0.23850000000000002,47021.0,67539.0,0.55408,0.22063,51207.0,78157.0,0.5557070000000001,0.21792999999999998,46052.0,65671.0,0.489746,0.21759,41843.0,66022.0,0.48885199999999995,0.20296,46581.0,75029.0,0.5439390000000001,0.21478000000000003
Current occupation of head,Other occupation,56476.0,68539.0,n.a.,0.23887,49844.0,60308.0,0.597572,0.19794,54527.0,63274.0,0.597851,0.24146,55331.0,62734.0,0.557982,0.24946000000000002,55737.0,66484.0,0.565818,0.21655000000000002,57470.0,64411.0,0.572873,0.21577000000000002,57161.0,67073.0,0.535863,0.21117,55037.0,63308.0,0.510471,0.18849,52304.0,62534.0,0.540268,0.1772,53670.0,67291.0,0.538422,0.17044
Current occupation of head,Retired or other not working,23369.0,41074.0,n.a.,0.31867999999999996,24063.0,37641.0,0.465182,0.34265999999999996,25660.0,40786.0,0.429105,0.31449,25422.0,45664.0,0.46026000000000006,0.29551,27868.0,53266.0,0.491809,0.27417,30041.0,53757.0,0.440948,0.28105,27390.0,56220.0,0.463968,0.29613,30327.0,47103.0,0.45048099999999996,0.31676,30336.0,51988.0,0.412628,0.33399999999999996,33417.0,63689.0,0.46372,0.33115
Housing status,Owner,62318.0,96531.0,n.a.,0.63872,58438.0,82208.0,0.6316120000000001,0.63929,59338.0,86663.0,0.6127750000000001,0.6470699999999999,64304.0,98063.0,0.622237,0.66256,71065.0,117591.0,0.666809,0.67688,70532.0,110943.0,0.622769,0.69053,71451.0,122108.0,0.609241,0.68636,66270.0,108301.0,0.564759,0.6728700000000001,65903.0,114961.0,0.5889909999999999,0.65152,70885.0,133289.0,0.622849,0.63719
Housing status,Renter or other,25317.0,41292.0,n.a.,0.36128,29219.0,40469.0,0.46240299999999995,0.36071,28867.0,39306.0,0.440472,0.35292999999999997,29909.0,39389.0,0.434052,0.33744,33442.0,43654.0,0.43646799999999997,0.32311999999999996,31347.0,42857.0,0.422969,0.30946999999999997,32153.0,43476.0,0.466508,0.31364000000000003,29204.0,41827.0,0.426832,0.32713000000000003,28244.0,41293.0,0.420171,0.34848,31392.0,47743.0,0.43261299999999997,0.36280999999999997
Percentile of net worth,Less than 25,19474.0,27897.0,n.a.,0.24996,22344.0,29217.0,0.374984,0.24995,22452.0,29068.0,0.357575,0.24996,23927.0,29992.0,0.36337899999999995,0.24992999999999999,26475.0,32442.999999999996,0.345304,0.24997,26123.0,31800.0,0.345087,0.24998,27390.0,33713.0,0.403829,0.24998,25834.0,36013.0,0.32209699999999997,0.24997,24060.0,32403.0,0.335955,0.24996,25316.0,34213.0,0.367782,0.24998
Percentile of net worth,25–49.9,40896.0,46784.0,n.a.,0.24999,41250.0,46374.0,0.524134,0.25004000000000004,44904.0,49075.0,0.512509,0.24995,44863.0,49892.0,0.5022829999999999,0.25005,47376.0,53593.0,0.5419149999999999,0.24999,47021.0,53688.0,0.538793,0.25,47634.0,53898.0,0.528096,0.24998,41559.0,50382.0,0.483221,0.25001,39751.0,48338.0,0.45832,0.25003,41518.0,50789.0,0.48395000000000005,0.24999
Percentile of net worth,50–74.9,58423.0,67340.0,n.a.,0.25005,55001.0,60989.0,0.635706,0.25,56131.0,63818.0,0.595783,0.25003,59818.0,69219.0,0.618386,0.25,69671.0,80031.0,0.681831,0.24998,66613.0,77268.0,0.620295,0.25001999999999996,65497.0,77084.0,0.590709,0.25003,60654.0,69791.0,0.569003,0.25001,57535.0,67847.0,0.598527,0.24999,64809.0,74916.0,0.637896,0.25
Percentile of net worth,75–89.9,77897.0,95432.0,n.a.,0.14981999999999998,72188.0,85501.0,0.705554,0.14999,67357.0,82615.0,0.686915,0.15003,83745.0,99421.0,0.719934,0.14999,94753.0,106275.0,0.7734260000000001,0.14999,97961.0,111892.0,0.725942,0.15,95268.0,107610.0,0.68919,0.14997,81995.0,98149.0,0.666678,0.14999,89963.0,103110.0,0.693721,0.15,91137.0,113573.0,0.6840430000000001,0.14996
Percentile of net worth,90–100,146058.0,267205.0,n.a.,0.10019,135783.0,201785.0,0.810262,0.10002000000000001,126695.0,220603.0,0.824395,0.10003000000000001,130103.00000000001,260652.0,0.797142,0.10005000000000001,171391.0,362229.0,0.8408599999999999,0.10006999999999999,182860.0,323972.0,0.7599509999999999,0.10000999999999999,183392.0,401154.0,0.804249,0.10005000000000001,179714.0,327798.0,0.760474,0.10002000000000001,189341.0,366684.0,0.778927,0.10002000000000001,215692.0,452109.0,0.7879970000000001,0.10006999999999999
