Characteristic,Sub-Characteristic,1989 - Median,1989 - Mean,1992 - Median,1992 - Mean,1995 - Median,1995 - Mean,1998 - Median,1998 - Mean,2001 - Median,2001 - Mean,2004 - Median,2004 - Mean,2007 - Median,2007 - Mean,2010 - Median,2010 - Mean,2013 - Median,2013 - Mean,2016 - Median,2016 - Mean
,All families,87810.0,353330.0,83350.0,313730.0,90520.0,333750.0,105790.0,418500.0,117520.0,538630.0,118400.0,571220.0,140120.0,644790.0,85110.0,547040.0,83930.0,544860.0,97290.0,689510.0
Percentile of income,Less than 20,3580.0,46080.0,6610.0,55890.0,9330.0,69900.0,8510.0,73130.0,10700.0,72210.0,9440.0,91010.0,10180.0,122590.0,6700.0,129169.99999999999,6390.0,90250.0,6600.0,91390.0
Percentile of income,20–39.9,46270.0,126990.0,46540.0,108710.0,54340.0,125730.0,51050.0,144140.0,52220.0,160080.0,43710.0,156720.0,43770.0,155740.0,30620.0,143640.0,22170.0,114810.0,31500.0,124070.0
Percentile of income,40–59.9,78590.0,191510.0,66330.0,170090.0,71720.0,158970.0,78720.0,185520.0,86360.0,221260.0,92140.0,248920.0,102370.0,243940.0,71770.0,217870.0,63720.0,175360.0,81900.0,210650.0
Percentile of income,60–79.9,125950.0,254850.0,126470.0,234330.0,118080.0,250180.0,164810.0,301140.0,191850.0,399830.0,203490.0,431380.0,237050.0,430610.0,140490.0,323190.0,163650.0,344230.0,167270.0,373300.0
Percentile of income,80–89.9,250270.0,417290.0,201030.0,382280.0,200920.0,405010.0,278860.0,486360.0,355380.0,613790.0,399340.0,627020.0,413990.0,711150.0,319360.0,629550.0,307680.0,649510.0,389700.0,770110.0
Percentile of income,90–100,737010.0,1876800.0,611790.0,1616100.0,559220.0,1722490.0,667320.0,2290250.0,1130620.0,3063100.0,1177030.0,3228540.0,1297090.0,3829000.0,1315340.0,3212700.0,1169790.0,3349040.0,1639550.0,4525360.0
Age of head (years),Less than 35,15170.0,92970.0,15580.0,76130.0,18790.0,67780.0,13430.0,98970.0,15850.0,115310.0,18060.0,93670.0,13560.0,122780.0,10280.0,71990.0,10790.0,77780.0,11000.0,76200.0
Age of head (years),35–44,105510.0,277140.0,74960.0,223590.0,81590.0,225600.0,93690.0,289710.0,106360.0,352260.0,88330.0,381150.0,102660.0,378160.0,46820.0,239430.0,48510.0,358290.0,59700.0,288240.0
Age of head (years),45–54,183040.0,526190.0,131310.0,451090.0,145170.0,470920.0,155850.0,536360.0,181980.0,666630.0,184540.0,692170.0,214230.0,767130.0,129490.00000000001,630190.0,108630.0,542400.0,124040.0,724130.0
Age of head (years),55–64,183170.0,574980.0,190850.0,569170.0,180890.0,599290.0,188710.0,787160.0,251030.0,998370.0,320490.0,1077560.0,293790.0,1084250.0,197520.0,971430.0,170870.0,820130.0,187300.0,1164370.0
Age of head (years),65–74,144790.0,545110.0,165530.0,483230.0,173760.0,548320.0,216150.0,688710.0,241160.0,916730.0,241890.0,880080.0,277230.0,1173530.0,228440.0,931290.0,239320.0,1079890.0,224000.0,1058920.0
Age of head (years),75 or more,135370.0,450620.0,145740.0,359310.0,145640.0,407240.0,185610.0,457930.0,211830.0,634330.0,207430.0,669280.0,246890.0,740170.0,239750.0,727560.0,201070.0,630450.0,264750.0,1064700.0
Family structure,Single with child(ren),13060.0,118500.0,14220.0,88980.0,18790.0,113960.0,23750.0,154770.0,17670.0,129009.99999999999,26200.0,166190.0,28640.0,206480.0,17300.0,158260.0,14600.0,133160.0,21600.0,169770.0
Family structure,"Single, no child, age less than 55",15390.0,139910.0,25160.0,118630.0,27190.0,113730.0,22870.0,135530.0,26420.0,202300.0,27470.0,198970.0,29070.0,240740.0,16250.0,130699.99999999999,14580.0,152600.0,14100.0,182240.0
Family structure,"Single, no child, age 55 or more",75900.0,228860.0,98210.0,262220.0,110790.0,310080.0,128360.00000000001,362780.0,123830.0,395220.0,149050.0,446130.0,166640.0,451930.0,111970.0,421640.0,111260.0,384370.0,114400.0,507800.0
Family structure,Couple with child(ren),116800.0,379560.0,101130.0,346660.0,103200.0,339550.0,128440.0,443770.0,154520.0,598230.0,155370.0,642330.0,163160.0,694160.0,95500.0,610220.0,95900.0,605460.0,117300.0,719520.0
