SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Income, Median ($)","Income, Mean ($)",Percentage of families that saved (%),Percentage of families (%)
1,Public-Real,1989,,All families,48686.0,76574.0,0.0,1.0
1,Public-Real,1989,Percentile of income,Less than 20,11685.0,11157.0,0.0,0.19996
1,Public-Real,1989,Percentile of income,20–39.9,27264.0,27471.0,0.0,0.2
1,Public-Real,1989,Percentile of income,40–59.9,48686.0,48461.0,0.0,0.19994
1,Public-Real,1989,Percentile of income,60–79.9,75950.0,76453.0,0.0,0.20001000000000002
1,Public-Real,1989,Percentile of income,80–89.9,111004.0,114422.0,0.0,0.10007999999999999
1,Public-Real,1989,Percentile of income,90–100,194743.0,324142.0,0.0,0.10000999999999999
1,Public-Real,1989,Age of head (years),Less than 35,38949.0,52074.0,0.0,0.28128
1,Public-Real,1989,Age of head (years),35–44,68160.0,92767.0,0.0,0.21453
1,Public-Real,1989,Age of head (years),45–54,72055.0,112808.0,0.0,0.15138
1,Public-Real,1989,Age of head (years),55–64,48686.0,89036.0,0.0,0.13852
1,Public-Real,1989,Age of head (years),65–74,31159.0,66741.0,0.0,0.12560000000000002
1,Public-Real,1989,Age of head (years),75 or more,25317.0,47727.0,0.0,0.08868999999999999
1,Public-Real,1989,Family structure,Single with child(ren),25317.0,36580.0,0.0,0.11016
1,Public-Real,1989,Family structure,"Single, no child, age less than 55",33106.0,57836.0,0.0,0.1558
1,Public-Real,1989,Family structure,"Single, no child, age 55 or more",19474.0,32890.0,0.0,0.15213
1,Public-Real,1989,Family structure,Couple with child(ren),70108.0,97062.0,0.0,0.36174999999999996
1,Public-Real,1989,Family structure,"Couple, no child",60370.0,106366.0,0.0,0.22016
1,Public-Real,1989,Education of head,No high school diploma,25317.0,36445.0,0.0,0.24258
1,Public-Real,1989,Education of head,High school diploma,42844.0,55894.0,0.0,0.32136000000000003
1,Public-Real,1989,Education of head,Some college,56476.0,76452.0,0.0,0.20370000000000002
1,Public-Real,1989,Education of head,College degree,87635.0,147180.0,0.0,0.23235
1,Public-Real,1989,Race or ethnicity of respondent,White non-Hispanic,56476.0,87876.0,0.0,0.7481300000000001
1,Public-Real,1989,Race or ethnicity of respondent,Black or African-American non-hispanic,21422.0,36963.0,0.0,0.12735
1,Public-Real,1989,Race or ethnicity of respondent,Hispanic or Latino,27264.0,41696.0,0.0,0.07912
1,Public-Real,1989,Race or ethnicity of respondent,Other or Multiple Race,42844.0,62234.0,0.0,0.0454
1,Public-Real,1989,Current work status of head,Working for someone else,60370.0,76730.0,0.0,0.57001
1,Public-Real,1989,Current work status of head,Self-employed,70108.0,177416.0,0.0,0.11131
1,Public-Real,1989,Current work status of head,Retired,27264.0,45001.0,0.0,0.25225000000000003
1,Public-Real,1989,Current work status of head,Other not working,13632.0,26167.0,0.0,0.06644
1,Public-Real,1989,Current occupation of head,Managerial or professional,87635.0,139374.0,0.0,0.21664000000000003
1,Public-Real,1989,Current occupation of head,"Technical, sales, or services",46738.0,74923.0,0.0,0.22579999999999997
1,Public-Real,1989,Current occupation of head,Other occupation,56476.0,68539.0,0.0,0.23887
1,Public-Real,1989,Current occupation of head,Retired or other not working,23369.0,41074.0,0.0,0.31867999999999996
1,Public-Real,1989,Housing status,Owner,62318.0,96531.0,0.0,0.63872
1,Public-Real,1989,Housing status,Renter or other,25317.0,41292.0,0.0,0.36128
1,Public-Real,1989,Percentile of net worth,Less than 25,19474.0,27897.0,0.0,0.24996
1,Public-Real,1989,Percentile of net worth,25–49.9,40896.0,46784.0,0.0,0.24999
1,Public-Real,1989,Percentile of net worth,50–74.9,58423.0,67340.0,0.0,0.25005
1,Public-Real,1989,Percentile of net worth,75–89.9,77897.0,95432.0,0.0,0.14981999999999998
1,Public-Real,1989,Percentile of net worth,90–100,146058.0,267205.0,0.0,0.10019
1,Public-Real,1992,,All families,44688.0,67152.0,0.570576,1.0
1,Public-Real,1992,Percentile of income,Less than 20,11344.0,10997.0,0.301828,0.19999
1,Public-Real,1992,Percentile of income,20–39.9,25782.0,26637.0,0.49953600000000004,0.19998000000000002
1,Public-Real,1992,Percentile of income,40–59.9,44688.0,45572.0,0.5840890000000001,0.2
1,Public-Real,1992,Percentile of income,60–79.9,70470.0,72545.0,0.702145,0.19994
1,Public-Real,1992,Percentile of income,80–89.9,106564.0,107739.0,0.71028,0.10003999999999999
1,Public-Real,1992,Percentile of income,90–100,180471.0,252156.0,0.82015,0.10006
1,Public-Real,1992,Age of head (years),Less than 35,41250.0,50824.0,0.591044,0.25763
1,Public-Real,1992,Age of head (years),35–44,60157.0,78215.0,0.569262,0.22759000000000001
1,Public-Real,1992,Age of head (years),45–54,70470.0,95041.0,0.589394,0.16248
1,Public-Real,1992,Age of head (years),55–64,49844.0,83306.0,0.592637,0.13196
1,Public-Real,1992,Age of head (years),65–74,29219.0,48618.0,0.541062,0.12634
1,Public-Real,1992,Age of head (years),75 or more,22344.0,39147.0,0.49383099999999996,0.094
1,Public-Real,1992,Family structure,Single with child(ren),24063.0,35324.0,0.45061100000000004,0.11138999999999999
1,Public-Real,1992,Family structure,"Single, no child, age less than 55",34375.0,44678.0,0.52261,0.16033999999999998
1,Public-Real,1992,Family structure,"Single, no child, age 55 or more",20625.0,31718.0,0.46752699999999997,0.15251
1,Public-Real,1992,Family structure,Couple with child(ren),68751.0,93869.0,0.62112,0.32850999999999997
