SCF Table,!Calculation,Year,Characteristic,Sub-Characteristic,"Secured by primary residence, Mortgages (%)","Secured by primary residence, HELOC (%)",Other residential debt (%),Credit card balances (%),Lines of credit not secured by residential property (%),"Installment loans, Education loans (%)","Installment loans, Vehicle loans (%)","Installment loans, Other loans (%)",Other (%),Any debt (%),"Secured by primary residence, Mortgages ($)","Secured by primary residence, HELOC ($)",Other residential debt ($),Credit card balances ($),Lines of credit not secured by residential property ($),"Installment loans, Education loans ($)","Installment loans, Vehicle loans ($)","Installment loans, Other loans ($)",Other ($),Any debt ($)
13,Public-Real,1989,,All families,0.3858,0.031400000000000004,0.0516,0.396605,0.0316,0.08929999999999999,0.346665,0.219998,0.0666,0.7226980000000001,57840.0,35450.0,48510.0,1679.27,3730.0,5600.0,11195.2,2444.3,3730.0,27988.0
13,Public-Real,1989,Percentile of income,Less than 20,0.0745,,,0.14971399999999999,,0.08470000000000001,0.122703,0.205486,0.058499999999999996,0.47213700000000003,13060.0,,,559.76,,5000.0,3731.7,932.9,930.0,3172.0
13,Public-Real,1989,Percentile of income,20–39.9,0.2212,,,0.282391,,0.08259999999999999,0.21706199999999998,0.234757,0.0525,0.596206,22390.0,,,1119.52,,5600.0,5597.6,1865.8999999999999,1870.0,9329.0
13,Public-Real,1989,Percentile of income,40–59.9,0.3732,0.024,0.0326,0.487543,,0.0762,0.416483,0.228963,0.047599999999999996,0.779607,39180.0,14930.0,26120.0,1492.69,,7460.0,11195.2,2798.8,1680.0,22390.0
13,Public-Real,1989,Percentile of income,60–79.9,0.5538000000000001,0.0404,0.055999999999999994,0.573531,0.042199999999999994,0.1217,0.508295,0.267833,0.0608,0.8601030000000001,67170.0,27990.0,26120.0,1865.8600000000001,3730.0,5600.0,11643.0,3731.7,1870.0,52617.0
13,Public-Real,1989,Percentile of income,80–89.9,0.6981999999999999,0.0415,0.1069,0.576533,0.085,0.08,0.551983,0.193483,0.0789,0.9351990000000001,76500.0,46650.0,50380.0,2406.96,3730.0,3730.0,14926.9,3731.7,7460.0,74634.0
13,Public-Real,1989,Percentile of income,90–100,0.7136,0.11789999999999999,0.1943,0.402944,0.0584,0.0824,0.385343,0.132445,0.14859999999999998,0.875411,111950.0,44780.0,74630.0,4104.89,9330.0,5390.0,13061.0,14926.9,9330.0,138074.0
13,Public-Real,1989,Age of head (years),Less than 35,0.3477,,0.016200000000000003,0.44526299999999996,0.043899999999999995,0.1711,0.376907,0.306998,0.0611,0.798433,82100.0,,32650.0,1865.8600000000001,2610.0,6160.0,9329.3,1865.8999999999999,1490.0,21308.0
13,Public-Real,1989,Age of head (years),35–44,0.5755,0.0447,0.0696,0.5047820000000001,0.0472,0.1091,0.504854,0.3002,0.0848,0.8862380000000001,72770.0,27990.0,65310.0,1865.8600000000001,5600.0,3730.0,12445.3,3731.7,1870.0,56536.0
13,Public-Real,1989,Age of head (years),45–54,0.5687,0.0622,0.10640000000000001,0.49258899999999994,0.04,0.0726,0.475634,0.215176,0.0944,0.851976,46650.0,39180.0,37320.0,1865.8600000000001,1870.0,7460.0,11195.2,4291.5,5600.0,44781.0
13,Public-Real,1989,Age of head (years),55–64,0.3411,0.057699999999999994,0.0738,0.329075,0.015,0.0412,0.276664,0.12264599999999999,0.0808,0.7077939999999999,37320.0,35450.0,63440.0,1865.8600000000001,3730.0,3730.0,9329.3,1847.2,5600.0,17726.0
13,Public-Real,1989,Age of head (years),65–74,0.20739999999999997,,0.0412,0.27065,,,0.13981,0.113016,0.0329,0.496663,18660.0,,26120.0,1026.2199999999998,,,7463.4,1586.0,3730.0,9329.0
13,Public-Real,1989,Age of head (years),75 or more,0.0579,,,0.100653,,,0.050273000000000005,0.061866000000000004,0.0187,0.209668,20520.0,,,373.17,,,5597.6,3731.7,9330.0,5504.0
13,Public-Real,1989,Family structure,Single with child(ren),0.3085,,0.0354,0.356002,,0.16949999999999998,0.269251,0.252121,0.056299999999999996,0.709635,46650.0,,50380.0,1492.69,,3730.0,7463.4,932.9,1310.0,11979.0
13,Public-Real,1989,Family structure,"Single, no child, age less than 55",0.1942,,0.0252,0.349967,0.04650000000000001,0.1523,0.30048400000000003,0.209913,0.0496,0.708038,76500.0,,72770.0,1679.27,3730.0,5600.0,9329.3,1865.8999999999999,1490.0,13061.0
13,Public-Real,1989,Family structure,"Single, no child, age 55 or more",0.1359,,0.0194,0.19947399999999998,,,0.088451,0.082838,0.0163,0.372328,13060.0,,14930.0,932.9300000000001,,,5597.6,1679.3,820.0,5504.0
13,Public-Real,1989,Family structure,Couple with child(ren),0.6221,0.0559,0.064,0.538085,0.0365,0.0885,0.506528,0.304135,0.0882,0.9151990000000001,65310.0,37320.0,55980.0,2015.13,3730.0,7460.0,11643.0,3731.7,3730.0,54035.0
13,Public-Real,1989,Family structure,"Couple, no child",0.3444,0.0285,0.0803,0.353668,0.036699999999999997,0.0584,0.33382399999999995,0.167587,0.0832,0.6654000000000001,59710.0,35450.0,46650.0,1492.69,4660.0,7460.0,11195.2,3731.7,7460.0,26962.0
13,Public-Real,1989,Education of head,No high school diploma,0.2183,,0.0139,0.237021,,0.0151,0.234128,0.230713,0.031200000000000002,0.556217,27990.0,,20520.0,1119.52,,3730.0,9329.3,1679.3,1310.0,9460.0
13,Public-Real,1989,Education of head,High school diploma,0.3457,0.032,0.0434,0.40765799999999996,0.026099999999999998,0.0698,0.37495100000000003,0.212928,0.0553,0.703074,44780.0,33590.0,26120.0,1679.27,3730.0,5000.0,9329.3,1548.7,1870.0,20524.0
13,Public-Real,1989,Education of head,Some college,0.4788,0.0394,0.0447,0.504861,0.0507,0.12689999999999999,0.40298,0.25337,0.0751,0.833963,55980.0,46650.0,44780.0,1865.8600000000001,3730.0,5600.0,11195.2,3731.7,5600.0,33585.0
13,Public-Real,1989,Education of head,College degree,0.5344,0.0479,0.1085,0.453023,0.0431,0.1609,0.375666,0.18933499999999998,0.1118,0.826108,87700.0,29850.0,65310.0,2052.45,3730.0,7460.0,11195.2,5504.3,3730.0,77526.0
13,Public-Real,1989,Race or ethnicity of respondent,White non-Hispanic,0.4194,0.0381,0.0575,0.41428800000000005,0.0304,0.08310000000000001,0.364923,0.208672,0.0718,0.73213,61570.0,33590.0,50380.0,1772.57,5600.0,5600.0,11195.2,3731.7,3730.0,35134.0
13,Public-Real,1989,Race or ethnicity of respondent,Black or African-American non-hispanic,0.2475,,0.026600000000000002,0.333501,,0.12300000000000001,0.271905,0.229458,0.0342,0.650851,26120.0,,13060.0,1119.52,,3730.0,9329.3,1306.1000000000001,520.0,9329.0
